indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	spacer﻿Between	NN
2	2	2	1	us	NN
3	3	3	1	there	RB
4	4	4	1	was	VB
5	5	5	1	,	OO
6	6	6	1	as	OO
7	7	7	1	I	NN
8	8	8	1	have	VB
9	9	9	1	already	RB
10	10	10	1	said	VB
11	11	11	1	somewhere	RB
12	12	12	1	,	OO
13	13	13	1	the	OO
14	14	14	1	bond	NN
15	15	15	1	of	OO
16	16	16	1	the	OO
17	17	17	1	sea	NN
18	18	18	1	.	OO
19	19	1	2	Besides	OO
20	20	2	2	holding	VB
21	21	3	2	our	JJ
22	22	4	2	hearts	NN
23	23	5	2	together	RB
24	24	6	2	through	OO
25	25	7	2	long	JJ
26	26	8	2	periods	NN
27	27	9	2	of	OO
28	28	10	2	separation	NN
29	29	11	2	,	OO
30	30	12	2	it	NN
31	31	13	2	had	VB
32	32	14	2	the	OO
33	33	15	2	effect	NN
34	34	16	2	of	OO
35	35	17	2	making	VB
36	36	18	2	us	NN
37	37	19	2	tolerant	JJ
38	38	20	2	of	OO
39	39	21	2	each	OO
40	40	22	2	other	JJ
41	41	23	2	's	OO
42	42	24	2	yarns--and	NN
43	43	25	2	even	RB
44	44	26	2	convictions	NN
45	45	27	2	.	OO
46	46	1	3	The	OO
47	47	2	3	Lawyer--the	NN
48	48	3	3	best	JJ
49	49	4	3	of	OO
50	50	5	3	old	JJ
51	51	6	3	fellows--had	NN
52	52	7	3	,	OO
53	53	8	3	because	OO
54	54	9	3	of	OO
55	55	10	3	his	JJ
56	56	11	3	many	JJ
57	57	12	3	years	NN
58	58	13	3	and	OO
59	59	14	3	many	JJ
60	60	15	3	virtues	NN
61	61	16	3	,	OO
62	62	17	3	the	OO
63	63	18	3	only	JJ
64	64	19	3	cushion	NN
65	65	20	3	on	OO
66	66	21	3	deck	NN
67	67	22	3	,spacerand	NN
68	68	23	3	was	VB
69	69	24	3	lying	VB
70	70	25	3	on	OO
71	71	26	3	the	OO
72	72	27	3	only	JJ
73	73	28	3	rug.	NN
74	74	1	4	The	OO
75	75	2	4	Accountant	NN
76	76	3	4	had	VB
77	77	4	4	brought	VB
78	78	5	4	out	OO
79	79	6	4	already	RB
80	80	7	4	a	OO
81	81	8	4	box	NN
82	82	9	4	of	OO
83	83	10	4	dominoes	NN
84	84	11	4	,	OO
85	85	12	4	and	OO
86	86	13	4	was	VB
87	87	14	4	toying	VB
88	88	15	4	architecturally	RB
89	89	16	4	with	OO
90	90	17	4	the	OO
91	91	18	4	bones	NN
92	92	19	4	.	OO
93	93	1	5	Marlow	NN
94	94	2	5	sat	VB
95	95	3	5	cross-legged	JJ
96	96	4	5	right	JJ
97	97	5	5	aft	NN
98	98	6	5	,	OO
99	99	7	5	leaning	VB
100	100	8	5	against	OO
101	101	9	5	the	OO
102	102	10	5	mizzen-mast	NN
103	103	11	5	.	OO
104	104	1	6	He	NN
105	105	2	6	had	VB
106	106	3	6	sunken	VB
107	107	4	6	cheeks	NN
108	108	5	6	,	OO
109	109	6	6	a	OO
110	110	7	6	yellow	JJ
111	111	8	6	complexion	NN
112	112	9	6	,	OO
113	113	10	6	a	OO
114	114	11	6	straight	JJ
115	115	12	6	back	NN
116	116	13	6	,	OO
117	117	14	6	an	OO
118	118	15	6	ascetic	JJ
119	119	16	6	aspect	NN
120	120	17	6	,	OO
121	121	18	6	and	OO
122	122	19	6	,	OO
123	123	20	6	with	OO
124	124	21	6	his	JJ
125	125	22	6	arms	NN
126	126	23	6	dropped	VB
127	127	24	6	,	OO
128	128	25	6	the	OO
129	129	26	6	palms	NN
130	130	27	6	of	OO
131	131	28	6	hands	NN
132	132	29	6	outwards	RB
133	133	30	6	,	OO
134	134	31	6	resembled	VB
135	135	32	6	an	OO
136	136	33	6	idol	NN
137	137	34	6	.	OO
138	138	1	7	The	OO
139	139	2	7	director	NN
140	140	3	7	,	OO
141	141	4	7	satisfied	VB
142	142	5	7	the	OO
143	143	6	7	anchor	NN
144	144	7	7	had	VB
145	145	8	7	good	JJ
146	146	9	7	hold	NN
147	147	10	7	,	OO
148	148	11	7	made	VB
149	149	12	7	his	JJ
150	150	13	7	way	NN
151	151	14	7	aft	RB
152	152	15	7	and	OO
153	153	16	7	sat	VB
154	154	17	7	down	OO
155	155	18	7	amongst	OO
156	156	19	7	us	NN
157	157	20	7	.	OO
