indexInDoc	token	posTag
1	The	JJ
2	European	JJ
3	insurance	NN
4	sector	NN
5	will	VB
6	soon	RB
7	be	VB
8	faced	VB
9	with	OO
10	the	OO
11	application	NN
12	of	OO
13	Solvency	NN
14	2	OO
15	regulation	NN
16	norms	NN
17	It	NN
18	will	VB
19	create	VB
20	a	OO
21	real	JJ
22	change	NN
23	in	OO
24	risk	NN
25	management	NN
26	practices	NN
27	The	OO
28	ORSA	NN
29	approach	NN
30	of	OO
31	the	OO
32	second	JJ
33	pillar	NN
34	makes	VB
35	the	OO
36	capital	NN
37	allocation	NN
38	an	OO
39	important	JJ
40	exercise	NN
41	for	OO
42	all	OO
43	insurers	NN
44	and	OO
45	specially	RB
46	for	OO
47	groups	NN
48	Considering	VB
49	firms	NN
50	capital	NN
51	allocation	NN
52	has	VB
53	to	OO
54	be	VB
55	based	VB
56	on	OO
57	a	OO
58	multivariate	JJ
59	risk	NN
60	modeling	NN
61	Several	JJ
62	allocation	NN
63	methods	NN
64	are	VB
65	present	JJ
66	in	OO
67	the	OO
68	literature	NN
69	and	OO
70	insurers	NN
71	practices	NN
72	In	OO
73	this	OO
74	paper	NN
75	we	NN
76	present	VB
77	a	OO
78	new	JJ
79	risk	NN
80	allocation	NN
81	method	NN
82	we	NN
83	study	VB
84	its	JJ
85	coherence	NN
86	using	VB
87	an	OO
88	axiomatic	JJ
89	approach	NN
90	and	OO
91	we	NN
92	try	VB
93	to	OO
94	define	VB
95	what	NN
96	the	OO
97	best	JJ
98	allocation	NN
99	choice	NN
100	for	OO
101	an	OO
102	insurance	NN
103	group	NN
104	is	VB
105	Introduction	NN
106	Solvency	NN
107	2	OO
108	standards	NN
109	will	VB
110	make	VB
111	a	OO
112	radical	JJ
113	change	NN
114	in	OO
115	risk	NN
116	management	NN
117	practices	NN
118	in	OO
119	the	OO
120	actuarial	JJ
121	sector	NN
122	They	NN
123	are	VB
124	based	VB
125	on	OO
126	a	OO
127	strengthening	NN
128	of	OO
129	risk	NN
130	control	NN
131	and	OO
132	minimization	NN
133	of	OO
134	a	OO
135	ruin	NN
136	probability	NN
137	The	OO
138	determination	NN
139	of	OO
140	the	OO
141	economic	JJ
142	regulatory	JJ
143	capital	NN
144	will	VB
145	be	VB
146	faced	VB
147	under	OO
148	this	OO
149	prudential	JJ
150	mechanism	NN
151	with	OO
152	a	OO
153	kind	NN
154	of	OO
155	methodological	JJ
156	revolution	NN
157	A	OO
158	choices	NN
159	of	OO
160	a	OO
161	dependence	NN
162	model	NN
163	between	OO
164	different	JJ
165	risks	NN
166	and	OO
167	of	OO
168	an	OO
169	aggregation	NN
170	methodology	NN
171	are	VB
172	both	OO
173	required	JJ
174	In	OO
175	the	OO
176	prescribed	JJ
177	Standard	NN
178	Formula	NN
179	risks	NN
180	aggregation	NN
181	is	VB
182	done	VB
183	using	VB
184	correlation	NN
185	matrices	NN
186	that	OO
187	connect	VB
188	families	NN
189	and	OO
190	subfamilies	NN
191	of	OO
192	risks	NN
193	Recently	RB
194	the	OO
195	proof	NN
196	of	OO
197	factorization	NN
198	in	OO
199	heavy	JJ
200	quarkonium	NN
201	production	NN
202	in	OO
203	NRQCD	NN
204	color	NN
205	octet	NN
206	mechanism	NN
207	is	VB
208	given	VB
209	at	OO
210	order	NN
211	NNLO	NN
212	in	OO
213	coupling	NN
214	constant	JJ
215	by	OO
216	using	VB
217	diagrammatic	JJ
218	method	NN
219	of	OO
220	QCD	NN
221	In	OO
222	this	OO
223	paper	NN
224	we	NN
225	prove	VB
226	factorization	NN
227	in	OO
228	heavy	JJ
229	quarkonium	NN
230	production	NN
231	in	OO
232	NRQCD	NN
233	color	NN
234	octet	NN
235	mechanism	NN
236	at	OO
237	all	OO
238	order	NN
239	in	OO
240	coupling	JJ
241	constant	JJ
242	by	OO
243	using	VB
244	path	JJ
245	integral	JJ
246	method	NN
247	of	OO
248	QCD	NN
249	Our	JJ
250	proof	NN
251	is	VB
252	valid	JJ
253	to	OO
254	all	OO
255	powers	NN
256	in	OO
257	the	OO
258	heavy	JJ
259	quark	NN
260	relative	JJ
261	velocity	NN
262	We	NN
263	find	VB
264	that	OO
265	the	OO
266	gauge	NN
267	invariance	NN
268	and	OO
269	the	OO
270	factorization	NN
271	at	OO
272	all	OO
273	order	NN
274	in	OO
275	coupling	JJ
276	constant	JJ
277	require	VB
278	NRQCD	NN
279	matrix	NN
280	elements	NN
281	that	OO
282	were	VB
283	introduced	VB
284	previously	RB
285	to	OO
286	prove	VB
287	factorization	NN
288	at	OO
289	NNLO	NN
290	INTRODUCTION	NN
291	In	OO
292	the	OO
293	last	JJ
294	two	OO
295	decades	NN
296	the	OO
297	NRQCD	NN
298	color	NN
299	octet	NN
300	mechanism	NN
301	1	OO
302	for	OO
303	heavy	JJ
304	quarkonium	NN
305	production	NN
306	has	VB
307	been	VB
308	very	RB
309	successful	JJ
310	in	OO
311	explaining	VB
312	experimental	JJ
313	data	NN
314	at	OO
315	high	JJ
316	energy	NN
317	colliders	NN
318	such	JJ
319	as	OO
320	at	OO
321	Tevatron	NN
322	2	OO
323	and	OO
324	at	OO
325	LHC	NN
326	3	OO
327	In	OO
328	its	JJ
329	original	JJ
330	formulation	NN
331	1	OO
332	the	OO
333	proof	NN
334	of	OO
335	factorization	NN
336	in	OO
337	heavy	JJ
338	quarkonium	NN
339	production	NN
340	in	OO
341	NRQCD	NN
342	color	NN
343	octet	NN
344	mechanism	NN
345	was	VB
346	lacking	VB
347	The	OO
348	proof	NN
349	of	OO
350	factorization	NN
351	is	VB
352	an	OO
353	essential	JJ
354	requirement	NN
355	to	OO
356	study	VB
357	heavy	JJ
358	quarkonium	NN
359	production	NN
360	at	OO
361	high	JJ
362	energy	NN
363	colliders	NN
364	Factorization	NN
365	refers	VB
366	to	OO
367	separation	NN
368	of	OO
369	effects	NN
370	from	OO
371	effects	NN
372	in	OO
373	quantum	JJ
374	field	NN
375	theory	NN
376	We	NN
377	propose	VB
378	algorithms	NN
379	to	OO
380	approximate	VB
381	directed	VB
382	information	NN
383	graphs	NN
384	Directed	JJ
385	information	NN
386	graphs	NN
387	are	VB
388	probabilistic	JJ
389	graphical	JJ
390	models	NN
391	that	OO
392	depict	VB
393	causal	JJ
394	dependencies	NN
395	between	OO
396	stochastic	JJ
397	processes	NN
398	in	OO
399	a	OO
400	network	NN
401	The	OO
402	proposed	VB
403	algorithms	NN
404	identify	VB
405	optimal	JJ
406	and	OO
407	approximations	NN
408	in	OO
