indexInDoc	token	ssplit	posTag
1	Recently	--	RB
2	the	--	OO
3	proof	--	NN
4	of	--	OO
5	factorization	--	NN
6	in	--	OO
7	heavy	--	JJ
8	quarkonium	--	NN
9	production	--	NN
10	in	--	OO
11	NRQCD	--	NN
12	color	--	NN
13	octet	--	NN
14	mechanism	--	NN
15	is	--	VB
16	given	--	VB
17	at	--	OO
18	nexttonexttoleading	--	JJ
19	order	--	NN
20	NNLO	--	NN
21	in	--	OO
22	coupling	--	??
23	constant	--	JJ
24	by	--	OO
25	using	--	VB
26	diagrammatic	--	JJ
27	method	--	NN
28	of	--	OO
29	QCD	SPLIT	NN
30	In	--	OO
31	this	--	OO
32	paper	--	NN
33	we	--	NN
34	prove	--	VB
35	factorization	--	NN
36	in	--	OO
37	heavy	--	JJ
38	quarkonium	--	NN
39	production	--	NN
40	in	--	OO
41	NRQCD	--	NN
42	color	--	NN
43	octet	--	NN
44	mechanism	--	NN
45	at	--	OO
46	all	--	OO
47	order	--	NN
48	in	--	OO
49	coupling	--	??
50	constant	--	JJ
51	by	--	OO
52	using	--	VB
53	path	--	NN
54	integral	--	JJ
55	method	--	NN
56	of	--	OO
57	QCD	SPLIT	NN
58	Our	--	JJ
59	proof	--	NN
60	is	--	VB
61	valid	--	JJ
62	to	--	OO
63	all	--	OO
64	powers	--	NN
65	in	--	OO
66	the	--	OO
67	heavy	--	JJ
68	quark	--	NN
69	relative	--	JJ
70	velocity	SPLIT	NN
71	We	--	NN
72	find	--	VB
73	that	--	OO
74	the	--	OO
75	gauge	--	NN
76	invariance	--	NN
77	and	--	OO
78	the	--	OO
79	factorization	--	NN
80	at	--	OO
81	all	--	OO
82	order	--	NN
83	in	--	OO
84	coupling	--	NN
85	constant	--	JJ
86	require	--	VB
87	gaugecompleted	--	JJ
88	nonperturbative	--	JJ
89	NRQCD	--	NN
90	matrix	--	NN
91	elements	--	NN
92	that	--	OO
93	were	--	VB
94	introduced	--	VB
95	previously	--	RB
96	to	--	OO
97	prove	--	VB
98	factorization	--	NN
99	at	--	OO
100	NNLO	??	NN
101	INTRODUCTION	--	NN
102	In	--	OO
103	the	--	OO
104	last	--	JJ
105	two	--	OO
106	decades	--	NN
107	the	--	OO
108	NRQCD	--	NN
109	color	--	NN
110	octet	--	NN
111	mechanism	--	NN
112	1	--	OO
113	for	--	OO
114	heavy	--	JJ
115	quarkonium	--	NN
116	production	--	NN
117	has	--	VB
118	been	--	VB
119	very	--	RB
120	successful	--	JJ
121	in	--	OO
122	explaining	--	VB
123	experimental	--	JJ
124	data	--	NN
125	at	--	OO
126	high	--	JJ
127	energy	--	NN
128	colliders	--	NN
129	such	--	JJ
130	as	--	OO
131	at	--	OO
132	Tevatron	--	NN
133	2	--	OO
134	and	--	OO
135	at	--	OO
136	LHC	--	NN
137	3	SPLIT	??
138	In	--	OO
139	its	--	JJ
140	original	--	JJ
141	formulation	--	NN
142	1	--	OO
143	the	--	OO
144	proof	--	NN
145	of	--	OO
146	factorization	--	NN
147	in	--	OO
148	heavy	--	JJ
149	quarkonium	--	NN
150	production	--	NN
151	in	--	OO
152	NRQCD	--	NN
153	color	--	NN
154	octet	--	NN
155	mechanism	--	NN
156	was	--	VB
157	lacking	SPLIT	VB
158	The	--	OO
159	proof	--	NN
160	of	--	OO
161	factorization	--	NN
162	is	--	VB
163	an	--	OO
164	essential	--	JJ
165	requirement	--	NN
166	to	--	OO
167	study	--	VB
168	heavy	--	JJ
169	quarkonium	--	NN
170	production	--	NN
171	at	--	OO
172	high	--	JJ
173	energy	--	NN
174	colliders	SPLIT	NN
175	Factorization	--	NN
176	refers	--	VB
177	to	--	OO
178	separation	--	NN
179	of	--	OO
180	shortdistance	--	JJ
181	effects	--	NN
182	from	--	OO
183	longdistance	--	JJ
184	effects	--	NN
185	in	--	OO
186	quantum	--	NN
187	field	--	NN
188	theory	SPLIT	NN
189	Recently	--	RB
190	the	--	OO
191	proof	--	NN
192	of	--	OO
193	factorization	--	NN
194	in	--	OO
195	heavy	--	JJ
196	quarkonium	--	NN
197	production	--	NN
198	in	--	OO
199	NRQCD	--	NN
200	color	--	NN
201	octet	--	NN
202	mechanism	--	NN
203	is	--	VB
204	given	--	VB
205	at	--	OO
206	nexttonext	--	??
207	to	--	OO
208	leading	--	VB
209	order	--	NN
210	NLLO	--	NN
211	in	--	OO
212	coupling	--	??
213	constant	--	JJ
214	by	--	OO
215	using	--	VB
216	diagrammatic	--	JJ
217	method	--	NN
218	of	--	OO
219	QCD	--	NN
220	4	SPLIT	??
221	However	--	RB
222	the	--	OO
223	proof	--	NN
224	of	--	OO
225	factorization	--	NN
226	in	--	OO
227	heavy	--	JJ
228	quarkonium	--	NN
229	production	--	NN
230	in	--	OO
231	NRQCD	--	NN
232	color	--	NN
233	octet	--	NN
234	mechanism	--	NN
235	at	--	OO
236	all	--	OO
237	order	--	NN
238	in	--	OO
239	coupling	--	??
240	constant	--	??
241	is	--	VB
242	still	--	RB
243	missing	SPLIT	VB
244	In	--	OO
245	this	--	OO
246	paper	--	NN
247	we	--	NN
248	will	--	VB
249	prove	--	VB
250	factorization	--	NN
251	in	--	OO
252	heavy	--	JJ
253	quarkonium	--	NN
254	production	--	NN
255	in	--	OO
256	NRQCD	--	NN
257	color	--	NN
258	octet	--	NN
259	mechanism	--	NN
260	at	--	OO
261	all	--	OO
262	order	--	NN
263	in	--	OO
264	coupling	--	??
265	constant	--	JJ
266	by	--	OO
267	using	--	VB
268	path	--	NN
269	integral	--	JJ
270	method	--	NN
271	of	--	OO
272	QCD	SPLIT	NN
273	The	--	OO
274	typical	--	JJ
275	nonperturbative	--	JJ
276	NRQCD	--	NN
277	matrix	--	NN
278	element	--	NN
279	in	--	OO
280	heavy	--	JJ
281	quarkonium	--	NN
282	production	--	NN
283	is	--	VB
284	given	--	VB
285	by	--	OO
286	1	--	OO
287	On	--	OO
288	0	--	OO
289	a	--	OO
290	HaH	--	NN
291	0	--	OO
292	1	--	OO
293	where	--	RB
294	is	--	VB
295	the	--	OO
296	two	--	OO
297	component	--	NN
298	Dirac	--	NN
299	spinor	--	??
300	field	--	NN
301	that	--	OO
302	annihilates	--	??
303	a	--	OO
304	heavy	--	JJ
305	quark	--	NN
306	is	--	VB
307	the	--	OO
308	two	--	OO
309	component	--	NN
310	Dirac	--	NN
311	spinor	--	??
312	field	--	NN
313	that	--	OO
314	creates	--	VB
315	a	--	OO
316	heavy	--	JJ
317	quark	--	NN
318	a	--	OO
319	H	--	NN
320	is	--	VB
321	the	--	OO
322	operator	--	NN
323	that	--	OO
324	creates	--	VB
325	the	--	OO
326	heavy	--	JJ
327	quarkonium	--	NN
328	H	--	NN
329	in	--	OO
330	the	--	OO
331	out	--	JJ
332	state	SPLIT	NN
333	The	--	OO
334	factors	--	NN
335	Kn	--	??
336	and	--	OO
337	K	--	??
338	n	--	??
339	are	--	VB
340	products	--	NN
341	of	--	OO
342	a	--	OO
343	color	--	NN
344	matrix	--	NN
345	either	--	OO
346	a	--	OO
347	unit	--	NN
348	matrix	--	NN
349	or	--	OO
350	T	--	NN
351	a	--	OO
352	a	--	OO
353	spin	--	NN
354	matrix	--	NN
355	either	--	OO
356	a	--	OO
357	unit	--	NN
358	matrix	--	NN
359	or	--	OO
360	i	--	??
361	and	--	OO
362	a	--	OO
363	polynomial	--	NN
364	of	--	OO
365	covariant	--	JJ
366	derivative	--	??
367	D	??	NN
368	The	--	OO
369	color	--	NN
370	and	--	OO
371	spin	--	??
372	indices	--	NN
373	on	--	OO
374	the	--	OO
375	fields	--	NN
376	and	--	OO
377	have	--	VB
378	been	--	VB
