indexInText	indexInSentence	sentenceNumber	startingChar	endingChar	token	posTag
1	1	1	0	9	﻿Recently	RB
2	2	1	10	13	the	DT
3	3	1	14	19	proof	NN
4	4	1	20	22	of	IN
5	5	1	23	36	factorization	NN
6	6	1	37	39	in	IN
7	7	1	40	45	heavy	JJ
8	8	1	46	56	quarkonium	NN
9	9	1	57	67	production	NN
10	10	1	68	70	in	IN
11	11	1	71	76	NRQCD	NNP
12	12	1	77	82	color	NN
13	13	1	83	88	octet	NN
14	14	1	89	98	mechanism	NN
15	15	1	99	101	is	VBZ
16	16	1	102	107	given	VBN
17	17	1	108	110	at	IN
18	18	1	111	134	next-to-next-to-leading	JJ
19	19	1	135	140	order	NN
20	20	1	141	142	(	-LRB-
21	21	1	142	146	NNLO	NNP
22	22	1	146	147	)	-RRB-
23	23	1	148	150	in	IN
24	24	1	151	159	coupling	VBG
25	25	1	160	168	constant	JJ
26	26	1	169	171	by	IN
27	27	1	172	177	using	VBG
28	28	1	178	190	diagrammatic	JJ
29	29	1	191	197	method	NN
30	30	1	198	200	of	IN
31	31	1	201	205	QCD.	NNP
32	1	2	0	2	In	IN
33	2	2	3	7	this	DT
34	3	2	8	13	paper	NN
35	4	2	14	16	we	PRP
36	5	2	17	22	prove	VBP
37	6	2	23	36	factorization	NN
38	7	2	37	39	in	IN
39	8	2	40	45	heavy	JJ
40	9	2	46	56	quarkonium	NN
41	10	2	57	67	production	NN
42	11	2	68	70	in	IN
43	12	2	71	76	NRQCD	NNP
44	13	2	77	82	color	NN
45	14	2	83	88	octet	NN
46	15	2	89	98	mechanism	NN
47	16	2	99	101	at	IN
48	17	2	102	105	all	DT
49	18	2	106	111	order	NN
50	19	2	112	114	in	IN
51	20	2	115	123	coupling	VBG
52	21	2	124	132	constant	JJ
53	22	2	133	135	by	IN
54	23	2	136	141	using	VBG
55	24	2	142	146	path	NN
56	25	2	147	155	integral	JJ
57	26	2	156	162	method	NN
58	27	2	163	165	of	IN
59	28	2	166	170	QCD.	NNP
60	1	3	0	3	Our	PRP$
61	2	3	4	9	proof	NN
62	3	3	10	12	is	VBZ
63	4	3	13	18	valid	JJ
64	5	3	19	21	to	TO
65	6	3	22	25	all	DT
66	7	3	26	32	powers	NNS
67	8	3	33	35	in	IN
68	9	3	36	39	the	DT
69	10	3	40	45	heavy	JJ
70	11	3	46	51	quark	NN
71	12	3	52	60	relative	JJ
72	13	3	61	69	velocity	NN
73	14	3	69	70	.	.
74	1	4	0	2	We	PRP
75	2	4	3	7	find	VBP
76	3	4	8	12	that	IN
77	4	4	13	16	the	DT
78	5	4	17	22	gauge	NN
79	6	4	23	33	invariance	NN
80	7	4	34	37	and	CC
81	8	4	38	41	the	DT
82	9	4	42	55	factorization	NN
83	10	4	56	58	at	IN
84	11	4	59	62	all	DT
85	12	4	63	68	order	NN
86	13	4	69	71	in	IN
87	14	4	72	80	coupling	NN
88	15	4	81	89	constant	JJ
89	16	4	90	97	require	VBP
90	17	4	98	113	gauge-completed	JJ
91	18	4	114	130	non-perturbative	JJ
92	19	4	131	136	NRQCD	NNP
93	20	4	137	143	matrix	NN
94	21	4	144	152	elements	NNS
95	22	4	153	157	that	WDT
96	23	4	158	162	were	VBD
97	24	4	163	173	introduced	VBN
98	25	4	174	184	previously	RB
99	26	4	185	187	to	TO
100	27	4	188	193	prove	VB
101	28	4	194	207	factorization	NN
102	29	4	208	210	at	IN
103	30	4	211	215	NNLO	NNP
104	31	4	215	216	.	.
105	32	4	217	229	INTRODUCTION	NNP
106	33	4	230	232	In	IN
107	34	4	233	236	the	DT
108	35	4	237	241	last	JJ
109	36	4	242	245	two	CD
110	37	4	246	253	decades	NNS
111	38	4	253	254	,	,
112	39	4	255	258	the	DT
113	40	4	259	264	NRQCD	NNP
114	41	4	265	270	color	NN
115	42	4	271	276	octet	NN
116	43	4	277	286	mechanism	NN
117	44	4	287	289	[1	IN
118	45	4	289	290	]	NNS
119	46	4	291	294	for	IN
120	47	4	295	300	heavy	JJ
121	48	4	301	311	quarkonium	NN
122	49	4	312	322	production	NN
123	50	4	323	326	has	VBZ
124	51	4	327	331	been	VBN
125	52	4	332	336	very	RB
126	53	4	337	347	successful	JJ
127	54	4	348	350	in	IN
128	55	4	351	361	explaining	VBG
129	56	4	362	374	experimental	JJ
130	57	4	375	379	data	NNS
131	58	4	380	382	at	IN
132	59	4	383	387	high	JJ
133	60	4	388	394	energy	NN
134	61	4	395	404	colliders	NNS
135	62	4	405	409	such	JJ
136	63	4	410	412	as	IN
137	64	4	413	415	at	IN
138	65	4	416	424	Tevatron	NNP
139	66	4	425	427	[2	CD
140	67	4	427	428	]	SYM
141	68	4	429	432	and	CC
142	69	4	433	435	at	IN
