indexInText	indexInSentence	sentenceNumber	startingChar	endingChar	token	posTag
1	1	1	1	10	﻿Abstract	NN
2	2	1	11	16	Based	VB
3	3	1	17	19	on	OO
4	4	1	20	23	the	OO
5	5	1	24	31	concept	NN
6	6	1	32	34	of	OO
7	7	1	35	38	DNA	NN
8	8	1	39	45	strand	NN
9	9	1	46	58	displacement	NN
10	10	1	59	62	and	OO
11	11	1	63	66	DNA	NN
12	12	1	67	73	strand	NN
13	13	1	74	81	algebra	NN
14	14	1	82	84	we	NN
15	15	1	85	89	have	VB
16	16	1	90	99	developed	VB
17	17	1	100	101	a	OO
18	18	1	102	108	method	NN
19	19	1	109	112	for	OO
20	20	1	113	120	logical	JJ
21	21	1	121	130	inference	NN
22	22	1	131	136	which	OO
23	23	1	137	139	is	VB
24	24	1	140	143	not	RB
25	25	1	144	149	based	VB
26	26	1	150	152	on	OO
27	27	1	153	160	silicon	NN
28	28	1	161	166	based	VB
29	29	1	167	176	computing	NN
30	30	1	176	177	.	OO
31	1	2	1	12	Essentially	RB
32	2	2	12	13	,	OO
33	3	2	14	16	it	NN
34	4	2	17	19	is	VB
35	5	2	20	21	a	OO
36	6	2	22	30	paradigm	NN
37	7	2	31	36	shift	NN
38	8	2	37	41	from	OO
39	9	2	42	49	silicon	NN
40	10	2	50	52	to	OO
41	11	2	53	59	carbon	NN
42	12	2	59	60	.	OO
43	1	3	1	3	In	OO
44	2	3	4	8	this	OO
45	3	3	9	14	paper	NN
46	4	3	15	17	we	NN
47	5	3	18	22	have	VB
48	6	3	23	33	considered	VB
49	7	3	34	37	the	OO
50	8	3	38	47	inference	NN
51	9	3	48	57	mechanism	NN
52	10	3	57	58	,	OO
53	11	3	59	62	viz	NN
54	12	3	62	63	.	OO
55	1	4	1	6	modus	NN
56	2	4	7	13	ponens	NN
57	3	4	13	14	,	OO
58	4	4	15	17	to	OO
59	5	4	18	22	draw	VB
60	6	4	23	33	conclusion	NN
61	7	4	34	38	from	OO
62	8	4	39	42	any	OO
63	9	4	43	51	observed	VB
64	10	4	52	56	fact	NN
65	11	4	56	57	.	OO
66	1	5	1	5	Thus	RB
67	2	5	5	6	,	OO
68	3	5	7	10	the	OO
69	4	5	11	18	present	JJ
