indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	One	OO
2	2	2	1	morning	NN
3	4	4	1	when	RB
4	5	5	1	Gregor	NN
5	6	6	1	Samsa	NN
6	7	7	1	woke	VB
7	8	8	1	from	OO
8	9	9	1	troubled	JJ
9	10	10	1	dreams	NN
10	12	12	1	he	NN
11	13	13	1	found	VB
12	14	14	1	himself	NN
13	15	15	1	transformed	VB
14	16	16	1	in	OO
15	17	17	1	his	JJ
16	18	18	1	bed	NN
17	19	19	1	into	OO
18	20	20	1	a	OO
19	21	21	1	horrible	JJ
20	22	22	1	vermin	NN
21	24	1	2	He	NN
22	25	2	2	lay	VB
23	26	3	2	on	OO
24	27	4	2	his	JJ
25	28	5	2	armourlike	JJ
26	29	6	2	back	RB
27	31	8	2	and	OO
28	32	9	2	if	OO
29	33	10	2	he	NN
30	34	11	2	lifted	VB
31	35	12	2	his	JJ
32	36	13	2	head	NN
33	37	14	2	a	OO
34	38	15	2	little	JJ
35	39	16	2	he	NN
36	40	17	2	could	VB
37	41	18	2	see	VB
38	42	19	2	his	JJ
39	43	20	2	brown	JJ
40	44	21	2	belly	NN
41	46	23	2	slightly	RB
42	47	24	2	domed	JJ
43	48	25	2	and	OO
44	49	26	2	divided	VB
45	50	27	2	by	OO
46	51	28	2	arches	NN
47	52	29	2	into	OO
48	53	30	2	stiff	JJ
49	54	31	2	sections	NN
50	56	1	3	The	OO
51	57	2	3	bedding	NN
52	58	3	3	was	VB
53	59	4	3	hardly	RB
54	60	5	3	able	JJ
55	61	6	3	to	OO
56	62	7	3	cover	VB
57	63	8	3	it	NN
58	64	9	3	and	OO
59	65	10	3	seemed	VB
60	66	11	3	ready	JJ
61	67	12	3	to	OO
62	68	13	3	slide	VB
63	69	14	3	off	OO
64	70	15	3	any	OO
65	71	16	3	moment	NN
66	73	1	4	His	JJ
67	74	2	4	many	JJ
68	75	3	4	legs	NN
69	77	5	4	pitifully	RB
70	78	6	4	thin	JJ
71	79	7	4	compared	VB
72	80	8	4	with	OO
73	81	9	4	the	OO
74	82	10	4	size	NN
75	83	11	4	of	OO
76	84	12	4	the	OO
77	85	13	4	rest	NN
78	86	14	4	of	OO
79	87	15	4	him	NN
80	89	17	4	waved	VB
81	90	18	4	about	OO
82	91	19	4	helplessly	RB
83	92	20	4	as	OO
84	93	21	4	he	NN
85	94	22	4	looked	VB
86	97	2	5	What	NN
87	98	3	5	s	VB
88	99	4	5	happened	VB
89	100	5	5	to	OO
90	101	6	5	me	NN
91	104	1	6	he	NN
92	105	2	6	thought	VB
93	107	1	7	It	NN
94	108	2	7	was	VB
95	109	3	7	nt	RB
96	110	4	7	a	OO
97	111	5	7	dream	NN
98	113	1	8	His	JJ
99	114	2	8	room	NN
100	116	4	8	a	OO
101	117	5	8	proper	JJ
102	118	6	8	human	JJ
103	119	7	8	room	NN
104	120	8	8	although	OO
105	121	9	8	a	OO
106	122	10	8	little	JJ
107	123	11	8	too	RB
108	124	12	8	small	JJ
109	126	14	8	lay	JJ
110	127	15	8	peacefully	RB
111	128	16	8	between	OO
112	129	17	8	its	JJ
113	130	18	8	four	OO
114	131	19	8	familiar	JJ
115	132	20	8	walls	NN
116	134	1	9	A	OO
117	135	2	9	collection	NN
118	136	3	9	of	OO
119	137	4	9	textile	NN
120	138	5	9	samples	NN
121	139	6	9	lay	VB
122	140	7	9	spread	VB
123	141	8	9	out	OO
124	142	9	9	on	OO
125	143	10	9	the	OO
126	144	11	9	table	NN
127	146	13	9	Samsa	NN
128	147	14	9	was	VB
129	148	15	9	a	OO
130	149	16	9	travelling	VB
131	150	17	9	salesman	NN
132	152	19	9	and	OO
133	153	20	9	above	OO
134	154	21	9	it	NN
135	155	22	9	there	OO
136	156	23	9	hung	VB
137	157	24	9	a	OO
138	158	25	9	picture	NN
139	159	26	9	that	OO
140	160	27	9	he	NN
141	161	28	9	had	VB
142	162	29	9	recently	RB
143	163	30	9	cut	VB
144	164	31	9	out	OO
145	165	32	9	of	OO
146	166	33	9	an	OO
