indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	Abstract	JJ
2	2	2	1	Based	VB
3	3	3	1	on	OO
4	4	4	1	the	OO
5	5	5	1	concept	NN
6	6	6	1	of	OO
7	7	7	1	DNA	NN
8	8	8	1	strand	NN
9	9	9	1	displacement	NN
10	10	10	1	and	OO
11	11	11	1	DNA	NN
12	12	12	1	strand	NN
13	13	13	1	algebra	NN
14	14	14	1	we	NN
15	15	15	1	have	VB
16	16	16	1	developed	VB
17	17	17	1	a	OO
18	18	18	1	method	NN
19	19	19	1	for	OO
20	20	20	1	logical	JJ
21	21	21	1	inference	NN
22	22	22	1	which	OO
23	23	23	1	is	VB
24	24	24	1	not	RB
25	25	25	1	based	VB
26	26	26	1	on	OO
27	27	27	1	silicon	NN
28	28	28	1	based	VB
29	29	29	1	computing	NN
30	31	1	2	Essentially	RB
31	33	3	2	it	NN
32	34	4	2	is	VB
33	35	5	2	a	OO
34	36	6	2	paradigm	NN
35	37	7	2	shift	NN
36	38	8	2	from	OO
37	39	9	2	silicon	NN
38	40	10	2	to	OO
39	41	11	2	carbon	NN
40	43	1	3	In	OO
41	44	2	3	this	OO
42	45	3	3	paper	NN
43	46	4	3	we	NN
44	47	5	3	have	VB
45	48	6	3	considered	VB
46	49	7	3	the	OO
47	50	8	3	inference	NN
48	51	9	3	mechanism	NN
49	53	11	3	viz	NN
50	55	1	4	modus	NN
51	56	2	4	ponens	NN
52	58	4	4	to	OO
53	59	5	4	draw	VB
54	60	6	4	conclusion	NN
55	61	7	4	from	OO
56	62	8	4	any	OO
57	63	9	4	observed	VB
58	64	10	4	fact	NN
59	66	1	5	Thus	RB
60	68	3	5	the	OO
61	69	4	5	present	JJ
62	70	5	5	approach	NN
63	71	6	5	to	OO
64	72	7	5	logical	JJ
65	73	8	5	inference	NN
66	74	9	5	based	VB
67	75	10	5	on	OO
68	76	11	5	DNA	NN
69	77	12	5	strand	NN
70	78	13	5	algebra	NN
71	79	14	5	is	VB
72	80	15	5	basically	RB
73	81	16	5	an	OO
74	82	17	5	attempt	NN
75	83	18	5	to	OO
76	84	19	5	develop	VB
77	85	20	5	expert	JJ
78	86	21	5	system	NN
79	87	22	5	design	NN
80	88	23	5	in	OO
81	89	24	5	the	OO
82	90	25	5	domain	NN
83	91	26	5	of	OO
84	92	27	5	DNA	NN
85	93	28	5	computing	NN
86	95	1	6	We	NN
87	96	2	6	have	VB
88	97	3	6	illustrated	VB
89	98	4	6	our	JJ
90	99	5	6	methodology	NN
91	100	6	6	with	OO
92	101	7	6	respect	NN
93	102	8	6	to	OO
94	103	9	6	worked	VB
95	104	10	6	out	OO
96	105	11	6	example	NN
97	107	1	7	Our	JJ
98	108	2	7	methodology	NN
99	109	3	7	is	VB
100	110	4	7	very	RB
101	111	5	7	flexible	JJ
102	112	6	7	for	OO
103	113	7	7	implementation	NN
104	114	8	7	of	OO
105	115	9	7	different	JJ
106	116	10	7	expert	NN
107	117	11	7	system	NN
108	118	12	7	applications	NN
109	120	1	8	Keywords	NN
110	122	3	8	logical	JJ
111	123	4	8	inference	NN
112	125	6	8	DNA	NN
113	126	7	8	strand	NN
114	127	8	8	algebra	NN
115	129	10	8	DNA	NN
116	130	11	8	gate	NN
117	132	13	8	DNA	NN
118	133	14	8	signal	NN
119	135	16	8	process	NN
120	136	17	8	algebra	NN
121	138	19	8	DNA	NN
122	139	20	8	computing	NN
123	141	22	8	modus	NN
124	142	23	8	ponens	NN
125	144	25	8	strand	NN
126	145	26	8	displacement	NN
127	147	28	8	molecular	JJ
128	148	29	8	computing	NN
129	150	31	8	expert	NN
