indexInDoc	token	posTag
1	Real	JJ
2	world	NN
3	networks	NN
4	are	VB
5	often	RB
6	large	JJ
7	there	OO
8	are	VB
9	tens	NN
10	of	OO
11	thousands	NN
12	of	OO
13	human	JJ
14	genes	NN
15	and	OO
16	trillions	NN
17	of	OO
18	connections	NN
19	in	OO
20	the	OO
21	human	JJ
22	brain	NN
23	Such	JJ
24	scales	NN
25	make	VB
26	human	JJ
27	visual	JJ
28	processing	NN
29	of	OO
30	and	OO
31	decision	NN
32	making	VB
33	with	OO
34	the	OO
35	whole	JJ
36	network	NN
37	prohibitive	NN
38	This	OO
39	paper	NN
40	investigates	VB
41	algorithms	NN
42	to	OO
43	identify	VB
44	provably	RB
45	good	JJ
46	approximations	NN
47	of	OO
48	the	OO
49	network	NN
50	topology	NN
51	which	OO
52	capture	VB
53	important	JJ
54	system	NN
55	dynamics	NN
56	while	OO
57	significantly	RB
58	reducing	VB
59	the	OO
60	number	NN
61	of	OO
62	edges	NN
63	to	OO
64	enable	VB
65	tractable	JJ
66	analysis	NN
67	1	OO
68	15	OO
69	Jun	NN
70	2015	OO
71	Quinn	NN
72	Pinar	NN
73	and	OO
74	Kiyavash	NN
75	Across	OO
76	different	JJ
77	domains	NN
78	edges	NN
79	are	VB
80	used	VB
81	to	OO
82	model	VB
83	various	JJ
84	kinds	NN
85	of	OO
86	ties	NN
87	such	JJ
88	as	OO
89	physical	JJ
90	connections	NN
91	or	OO
92	dynamic	JJ
93	relationships	NN
94	For	OO
95	instance	NN
96	in	OO
97	depicting	VB
98	a	OO
99	computer	NN
100	network	NN
101	an	OO
102	edge	NN
103	might	VB
104	correspond	VB
105	to	OO
106	a	OO
107	physical	JJ
108	wire	NN
109	or	OO
110	a	OO
111	packet	NN
112	exchange	NN
113	between	OO
114	a	OO
115	sender	NN
116	and	OO
117	a	OO
118	receiver	NN
119	For	OO
120	the	OO
121	human	JJ
122	brain	NN
123	edges	NN
124	could	VB
125	correspond	VB
126	to	OO
127	information	NN
128	flow	NN
129	between	OO
130	different	JJ
131	cells	NN
132	or	OO
133	brain	NN
134	regions	NN
135	Takahashi	NN
136	et	OO
137	al	NN
138	2015	OO
139	Kim	NN
140	et	OO
141	al	NN
142	2014	OO
143	For	OO
144	online	JJ
145	social	JJ
146	networks	NN
147	edges	NN
148	might	VB
149	represent	VB
150	relationships	NN
151	or	OO
152	pairs	NN
153	of	OO
154	users	NN
155	that	OO
156	frequently	RB
157	message	VB
158	each	OO
159	other	JJ
160	Ver	NN
161	Steeg	NN
162	and	OO
163	Galstyan	NN
164	2012	OO
165	2013	OO
166	Edges	NN
167	that	OO
168	represent	VB
169	dynamics	NN
170	often	RB
171	must	VB
172	be	VB
173	inferred	VB
174	from	OO
175	activity	NN
176	in	OO
177	some	OO
178	cases	NN
179	statistically	RB
180	There	OO
181	is	VB
182	a	OO
183	large	JJ
184	literature	NN
185	on	OO
186	graphs	NN
187	whose	JJ
188	edges	NN
189	depict	VB
190	statistical	JJ
191	relationships	NN
192	Markov	NN
193	and	OO
194	Bayesian	NN
195	networks	NN
196	are	VB
197	probabilistic	JJ
198	graphical	JJ
199	models	NN
200	whose	JJ
201	edges	NN
202	represent	VB
203	correlation	NN
204	Many	JJ
205	methods	NN
206	have	VB
207	been	VB
208	proposed	VB
209	to	OO
210	infer	VB
211	and	OO
212	approximate	VB
213	the	OO
214	networks	NN
215	from	OO
216	data	NN
217	often	RB
218	relying	VB
219	on	OO
220	heuristics	NN
221	Pretty	RB
222	soon	RB
223	I	NN
224	wanted	VB
225	to	OO
226	smoke	VB
227	and	OO
228	asked	VB
229	the	OO
230	widow	NN
231	to	OO
232	let	VB
233	me	NN
234	But	OO
235	she	NN
236	would	VB
237	nt	RB
238	She	NN
239	said	VB
240	it	NN
241	was	VB
242	a	OO
243	mean	JJ
244	practice	NN
245	and	OO
246	was	VB
247	nt	RB
248	clean	JJ
249	and	OO
250	I	NN
251	must	VB
252	try	VB
253	to	OO
254	not	RB
255	do	VB
256	it	NN
257	any	OO
258	more	RB
259	That	OO
260	is	VB
261	just	RB
262	the	OO
263	way	NN
264	with	OO
265	some	OO
266	people	NN
267	They	NN
268	get	VB
269	down	OO
270	on	OO
271	a	OO
272	thing	NN
273	when	RB
274	they	NN
275	do	VB
276	nt	RB
277	know	VB
278	nothing	NN
279	about	OO
280	it	NN
281	Here	RB
282	she	NN
283	was	VB
284	abothering	VB
285	about	OO
286	Moses	NN
287	which	OO
288	was	VB
289	no	OO
290	kin	NN
291	to	OO
292	her	NN
293	and	OO
294	no	OO
295	use	NN
296	to	OO
297	anybody	NN
298	being	VB
299	gone	VB
300	you	NN
301	see	VB
302	yet	RB
303	finding	VB
304	a	OO
305	power	NN
306	of	OO
307	fault	NN
308	with	OO
309	me	NN
310	for	OO
311	doing	VB
312	a	OO
313	thing	NN
314	that	OO
315	had	VB
316	some	OO
317	good	JJ
318	in	OO
319	it	NN
320	And	OO
321	she	NN
322	took	VB
323	snuff	NN
324	too	RB
325	of	OO
326	course	NN
327	that	OO
328	was	VB
329	all	JJ
330	right	JJ
331	because	OO
332	she	NN
333	done	VB
334	it	NN
335	herself	NN
336	Her	JJ
337	sister	NN
338	Miss	NN
339	Watson	NN
340	a	OO
341	tolerable	JJ
342	slim	JJ
343	old	JJ
344	maid	NN
345	with	OO
346	goggles	NN
347	on	OO
348	had	VB
349	just	RB
350	come	VB
351	to	OO
352	live	VB
353	with	OO
354	her	NN
355	and	OO
356	took	VB
357	a	OO
358	set	NN
359	at	OO
360	me	NN
361	now	RB
362	with	OO
363	a	OO
364	She	NN
365	worked	VB
366	me	NN
367	middling	VB
368	hard	JJ
369	for	OO
370	about	OO
371	an	OO
372	hour	NN
373	and	OO
374	then	RB
375	the	OO
376	widow	NN
377	made	VB
378	her	JJ
379	ease	NN
380	up	OO
381	I	NN
382	could	VB
383	nt	RB
384	stood	VB
385	it	NN
386	much	RB
387	longer	RB
388	Then	RB
389	for	OO
390	an	OO
391	hour	NN
392	it	NN
393	was	VB
394	deadly	JJ
395	dull	JJ
396	and	OO
397	I	NN
398	was	VB
399	fidgety	NN
400	Miss	NN
401	Watson	NN
402	would	VB
403	say	VB
404	Do	VB
405	nt	RB
406	put	VB
407	your	JJ
408	feet	NN
409	up	OO
410	there	RB
411	Huckleberry	NN
412	and	OO
413	Do	VB
414	nt	RB
415	scrunch	VB
416	up	OO
417	like	OO
418	that	OO
419	up	OO
420	straight	RB
421	and	OO
422	pretty	RB
423	soon	RB
424	she	NN
425	would	VB
426	say	VB
427	Do	VB
428	nt	RB
429	gap	VB
430	and	OO
431	stretch	VB
432	like	OO
433	that	OO
434	do	VB
435	nt	RB
436	you	NN
437	try	VB
438	to	OO
439	behave	VB
440	Brahinsky	NN
441	said	VB
442	that	OO
443	the	OO
444	University	NN
445	of	OO
446	California	NN
447	has	VB
448	made	VB
449	a	OO
450	priority	NN
451	out	OO
452	of	OO
453	administrative	JJ
454	spending	NN
455	noting	VB
456	that	OO
457	it	NN
458	has	VB
459	increased	VB
460	by	OO
461	over	OO
462	250	OO
463	in	OO
464	the	OO
465	last	JJ
466	20	OO
467	years	NN
468	The	OO
469	growth	NN
470	of	OO
471	faculty	NN
472	spending	NN
473	over	OO
474	the	OO
475	same	JJ
476	time	NN
477	period	NN
478	has	VB
479	only	RB
480	increased	VB
481	by	OO
482	50	OO
483	he	NN
484	said	VB
485	adding	VB
486	that	OO
487	20	OO
488	years	NN
489	ago	RB
490	there	OO
491	were	VB
492	five	OO
493	faculty	NN
494	members	NN
495	for	OO
496	every	OO
497	two	OO
498	administrators	NN
499	but	OO
500	the	OO
501	figure	NN
502	has	VB
503	shifted	VB
504	dramatically	RB
505	and	OO
506	presently	RB
507	there	OO
508	are	VB
509	only	RB
510	five	OO
511	faculty	NN
512	members	NN
513	for	OO
514	every	OO
515	six	OO
516	administrators	NN
517	on	OO
518	average	NN
519	The	OO
520	administration	NN
521	is	VB
522	growing	VB
523	and	OO
524	has	VB
525	surpassed	VB
526	the	OO
527	faculty	NN
528	he	NN
529	said	VB
530	The	OO
531	priorities	NN
532	of	OO
533	the	OO
534	UC	NN
535	are	VB
536	something	NN
537	that	OO
538	ought	VB
539	to	OO
540	be	VB
541	democratic	JJ
542	Brahinsky	NN
543	said	VB
544	We	NN
545	can	VB
546	have	VB
547	a	OO
548	say	NN
549	in	OO
550	that	OO
551	and	OO
552	so	RB
553	we	NN
554	should	VB
555	To	OO
556	learn	VB
557	more	JJ
558	about	OO
559	the	OO
560	University	NN
561	of	OO
562	California	NN
563	s	OO
564	budget	NN
565	Brahinsky	NN
566	recommended	VB
567	attendance	NN
568	at	OO
569	a	OO
570	workshop	NN
571	to	OO
572	be	VB
573	held	VB
574	by	OO
575	Autonomous	NN
576	Students	NN
577	UCSC	NN
578	a	OO
579	student	NN
580	organization	NN
581	that	OO
582	was	VB
583	tabling	VB
584	at	OO
585	the	OO
586	picnic	NN
587	AFT	NN
588	Local	JJ
589	2199	OO
590	President	NN
591	Roxi	NN
592	Power	NN
593	also	RB
594	spoke	VB
595	at	OO
596	the	OO
597	rally	NN
598	as	OO
599	did	VB
600	Mike	NN
601	Rotkin	NN
602	AFT	NN
603	s	OO
604	longest	JJ
605	running	VB
606	President	NN
607	at	OO
608	UC	NN
609	Santa	NN
610	Cruz	NN
611	After	OO
612	the	OO
613	speakers	NN
614	were	VB
615	heard	VB
616	a	OO
617	street	NN
618	theater	NN
619	segment	NN
620	was	VB
621	performed	VB
622	with	OO
623	UC	NN
624	administrators	NN
625	portrayed	VB
626	as	OO
627	wearing	VB
628	characters	NN
629	from	OO
630	the	OO
631	Monopoly	NN
632	board	NN
633	game	NN
634	Many	JJ
635	participants	NN
636	were	VB
637	dressed	VB
638	in	OO
639	graduation	NN
640	gowns	NN
641	and	OO
642	union	NN
643	members	NN
644	distributed	VB
645	the	OO
646	lyrics	NN
647	to	OO
648	a	OO
649	variety	NN
650	of	OO
651	songs	NN
652	to	OO
653	those	OO
654	in	OO
655	attendance	NN
656	so	OO
657	that	OO
658	the	OO
659	group	NN
660	could	VB
661	serve	VB
662	as	OO
663	the	OO
664	musical	JJ
665	chorus	NN
666	in	OO
667	the	OO
668	skit	NN
669	Another	JJ
670	popular	JJ
671	approach	NN
672	is	VB
673	inspired	VB
674	by	OO
675	the	OO
676	theory	NN
677	of	OO
678	intervening	VB
679	opportunities	NN
680	and	OO
681	it	NN
682	has	VB
683	been	VB
684	concreted	VB
685	into	OO
686	the	OO
687	radiation	NN
688	models	NN
689	Individuals	NN
690	are	VB
691	supposed	VB
692	to	OO
693	travel	VB
694	until	OO
695	they	NN
696	find	VB
697	a	OO
698	job	NN
699	opportunity	NN
700	so	OO
701	the	OO
702	population	NN
703	and	OO
704	jobs	NN
705	spatial	JJ
706	distributions	NN
707	naturally	RB
708	lead	VB
709	to	OO
710	a	OO
711	trip	NN
712	flow	NN
713	network	NN
714	In	OO
715	this	OO
716	paper	NN
717	we	NN
718	perform	VB
719	a	OO
720	thorough	JJ
721	comparison	NN
722	between	OO
723	the	OO
724	gravity	NN
725	and	OO
726	the	OO
727	radiation	NN
728	approaches	NN
729	in	OO
730	their	JJ
731	ability	NN
732	at	OO
733	estimating	VB
734	commuting	VB
735	flows	NN
736	We	NN
737	test	VB
738	the	OO
739	gravity	NN
740	and	OO
741	the	OO
742	radiation	NN
743	laws	NN
744	against	OO
745	empirical	JJ
746	trip	NN
747	data	NN
748	at	OO
749	different	JJ
750	scales	NN
751	and	OO
752	coming	VB
753	from	OO
754	different	JJ
755	countries	NN
756	Different	JJ
757	versions	NN
758	of	OO
759	the	OO
760	gravity	NN
761	and	OO
762	the	OO
763	radiation	NN
764	laws	NN
765	are	VB
766	used	VB
767	to	OO
768	estimate	VB
769	the	OO
770	probability	NN
771	that	OO
772	an	OO
773	individual	NN
774	has	VB
775	to	OO
776	commute	VB
777	from	OO
778	one	OO
779	unit	NN
780	to	OO
781	another	OO
782	called	VB
783	trip	NN
784	distribution	NN
785	law	NN
786	Based	VB
787	on	OO
788	these	OO
789	probability	NN
790	distribution	NN
791	the	OO
792	commuting	NN
793	networks	NN
794	are	VB
795	simulated	VB
796	with	OO
797	different	JJ
798	trip	NN
799	distribution	NN
800	models	NN
801	We	NN
802	show	VB
803	that	OO
804	the	OO
805	gravity	NN
806	law	NN
807	performs	VB
808	better	JJ
809	than	OO
810	the	OO
811	radiation	NN
812	law	NN
813	to	OO
814	estimate	VB
815	the	OO
816	commuting	NN
817	flows	VB
818	to	OO
819	preserve	VB
820	the	OO
821	structure	NN
822	of	OO
823	the	OO
824	network	NN
825	and	OO
826	to	OO
827	fit	VB
828	the	OO
829	commuting	NN
830	distance	NN
831	distribution	NN
832	although	OO
833	it	NN
834	fails	VB
835	at	OO
836	predicting	VB
837	commuting	VB
838	flows	NN
839	at	OO
840	large	JJ
841	distances	NN
842	Finally	RB
843	we	NN
844	show	VB
845	that	OO
846	both	OO
847	approaches	NN
848	can	VB
849	be	VB
850	used	VB
851	in	OO
852	absence	NN
853	of	OO
854	detailed	JJ
855	data	NN
856	for	OO
857	calibration	NN
858	since	OO
859	the	OO
860	only	JJ
861	parameter	NN
862	of	OO
863	both	OO
864	the	OO
865	gravity	NN
866	and	OO
867	the	OO
868	radiation	NN
869	laws	NN
870	depends	VB
871	only	RB
872	on	OO
873	the	OO
874	scale	NN
875	of	OO
876	the	OO
877	geographic	JJ
878	unit	NN
879	The	OO
880	dominant	JJ
881	spirit	NN
882	however	RB
883	that	OO
884	haunts	VB
885	this	OO
886	enchanted	JJ
887	region	NN
888	and	OO
889	seems	VB
890	to	OO
891	be	VB
892	of	OO
893	all	OO
894	the	OO
895	powers	NN
896	of	OO
897	the	OO
898	air	NN
899	is	VB
900	the	OO
901	apparition	NN
902	of	OO
903	a	OO
904	figure	NN
905	on	OO
906	horseback	NN
907	without	OO
908	a	OO
909	head	NN
910	It	NN
911	is	VB
912	said	VB
913	by	OO
914	some	OO
915	to	OO
916	be	VB
917	the	OO
918	ghost	NN
919	of	OO
920	a	OO
921	Hessian	JJ
922	trooper	NN
923	whose	JJ
924	head	NN
925	had	VB
926	been	VB
927	carried	VB
928	away	RB
929	by	OO
930	a	OO
931	in	OO
932	some	OO
933	nameless	JJ
934	battle	NN
935	during	OO
936	the	OO
937	Revolutionary	NN
938	War	NN
939	and	OO
940	who	NN
941	is	VB
942	ever	RB
943	and	OO
944	anon	RB
945	seen	VB
946	by	OO
947	the	OO
948	country	NN
949	folk	NN
950	hurrying	VB
951	along	RB
952	in	OO
953	the	OO
954	gloom	NN
955	of	OO
956	night	NN
957	as	OO
958	if	OO
959	on	OO
960	the	OO
961	wings	NN
962	of	OO
963	the	OO
964	wind	NN
965	His	JJ
966	haunts	NN
967	are	VB
968	not	RB
969	confined	VB
970	to	OO
971	the	OO
972	valley	NN
973	but	OO
974	extend	VB
975	at	OO
976	times	NN
977	to	OO
978	the	OO
979	adjacent	JJ
980	roads	NN
981	and	OO
982	especially	RB
983	to	OO
984	the	OO
985	vicinity	NN
986	of	OO
987	a	OO
988	church	NN
989	at	OO
990	no	OO
991	great	JJ
992	distance	NN
993	Indeed	RB
994	certain	JJ
995	of	OO
996	the	OO
997	most	RB
998	authentic	JJ
999	historians	NN
1000	of	OO
1001	those	OO
1002	parts	NN
1003	who	NN
1004	have	VB
1005	been	VB
1006	careful	JJ
1007	in	OO
1008	collecting	VB
1009	and	OO
1010	collating	VB
1011	the	OO
1012	floating	VB
1013	facts	NN
1014	concerning	VB
1015	this	OO
1016	spectre	NN
1017	allege	VB
1018	that	OO
1019	the	OO
1020	body	NN
1021	of	OO
1022	the	OO
1023	trooper	NN
1024	having	VB
1025	been	VB
1026	buried	VB
1027	in	OO
1028	the	OO
1029	churchyard	NN
1030	the	OO
1031	ghost	NN
1032	rides	VB
1033	forth	RB
1034	to	OO
1035	the	OO
1036	scene	NN
1037	of	OO
1038	battle	NN
1039	in	OO
1040	nightly	JJ
1041	quest	NN
1042	of	OO
1043	his	JJ
1044	head	NN
1045	and	OO
1046	that	OO
1047	the	OO
1048	rushing	VB
1049	speed	NN
1050	with	OO
1051	which	OO
1052	he	NN
1053	sometimes	RB
1054	passes	VB
1055	along	OO
1056	the	OO
1057	Hollow	NN
1058	like	OO
1059	a	OO
1060	midnight	NN
1061	blast	NN
1062	is	VB
1063	owing	VB
1064	to	OO
1065	his	JJ
1066	being	VB
1067	belated	VB
1068	and	OO
1069	in	OO
1070	a	OO
1071	hurry	NN
1072	to	OO
1073	get	VB
1074	back	RB
1075	to	OO
1076	the	OO
1077	churchyard	NN
1078	before	OO
1079	daybreak	NN
1080	If	NN
