indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	spacer//MATH/SCI	NN
2	2	2	1	8spacerEndWith_az.az.az	NN
3	3	1	2	The	OO
4	4	2	2	following	VB
5	5	3	2	command	NN
6	6	4	2	generates	VB
7	7	5	2	nlp4j.txt.nlp	NN
8	8	6	2	.spacer	NN
9	9	7	2	Inline_obj.method(	NN
10	10	8	2	)	OO
11	11	1	3	Capital	NN
12	12	2	3	allocation	NN
13	13	3	3	is	VB
14	14	4	3	an	OO
15	15	5	3	internal	JJ
16	16	6	3	exercise	NN
17	17	7	3	calculated	VB
18	18	8	3	by	OO
19	19	9	3	class	NN
20	20	10	3	method	NN
21	21	11	3	scr.capital(	NN
22	22	12	3	)	OO
23	23	13	3	,	OO
24	24	14	3	certainly	RB
25	25	15	3	not	RB
26	26	16	3	controlled	VB
27	27	17	3	by	OO
28	28	18	3	the	OO
29	29	19	3	first	JJ
30	30	20	3	pillar	NN
31	31	21	3	.spacer	OO
32	32	22	3	Inline_MathematicalOperator|<w>	NN
33	33	23	3	|	OO
34	34	1	4	The	OO
35	35	2	4	univeriate	JJ
36	36	3	4	risk	NN
37	37	4	4	measure	NN
38	38	5	4	|<w>	OO
39	39	6	4	|	NN
40	40	7	4	can	VB
41	41	8	4	also	RB
42	42	9	4	be	VB
43	43	10	4	used	VB
44	44	11	4	as	OO
45	45	12	4	an	OO
46	46	13	4	allocation	NN
47	47	14	4	principle	NN
48	48	15	4	.spacer	NN
49	49	16	4	Inline_x^1.2	OO
50	50	1	5	We	NN
51	51	2	5	found	VB
52	52	3	5	that	OO
53	53	4	5	the	OO
54	54	5	5	model	NN
55	55	6	5	Mw	NN
56	56	7	5	,x	NN
57	57	8	5	=	OO
58	58	9	5	wx^1.2	OO
59	59	1	6	approximated	VB
60	60	2	6	the	OO
61	61	3	6	system	NN
62	62	4	6	's	OO
63	63	5	6	behavior	NN
64	64	6	6	adequately	RB
65	65	7	6	.spacerspacer	OO
66	66	8	6	Inline_	NN
67	67	9	6	Tab	NN
68	68	10	6	.	OO
69	69	1	7	The	OO
70	70	2	7	case	NN
71	71	3	7	of	OO
72	72	4	7	insurance	NN
73	73	5	7	groups	NN
74	74	6	7	,	OO
75	75	7	7	stated	VB
76	76	8	7	in	OO
77	77	9	7	Tab	NN
78	78	10	7	.	OO
79	79	11	7	2	OO
80	80	12	7	,	OO
81	81	13	7	requires	VB
82	82	14	7	special	JJ
83	83	15	7	treatment	NN
84	84	16	7	.spacer	NN
85	85	17	7	Inline_p.m	NN
86	86	18	7	.	OO
87	87	1	8	Several	JJ
88	88	2	8	principles	NN
89	89	3	8	have	VB
90	90	4	8	been	VB
91	91	5	8	proposed	VB
92	92	6	8	later	RB
93	93	7	8	than	OO
94	94	8	8	the	OO
95	95	9	8	deadline	NN
96	96	10	8	of	OO
97	97	11	8	6	OO
98	98	12	8	p.m.	RB
99	99	13	8	over	OO
100	100	14	8	the	OO
101	101	15	8	last	JJ
102	102	16	8	twenty	OO
103	103	17	8	years	NN
104	104	18	8	.spacer	RB
105	105	19	8	Inline_et	RB
106	106	1	9	al	NN
107	107	2	9	.	OO
108	108	1	10	They	NN
109	109	2	10	are	VB
110	110	3	10	based	VB
111	111	4	10	on	OO
112	112	5	10	a	OO
113	113	6	10	strengthening	NN
114	114	7	10	of	OO
115	115	8	10	risk	NN
116	116	9	10	control	NN
117	117	10	10	and	OO
118	118	11	10	minimization	NN
119	119	12	10	of	OO
120	120	13	10	a	OO
121	121	14	10	ruin	NN
122	122	15	10	probability	NN
123	123	16	10	,	OO
124	124	17	10	Boolean	NN
125	125	18	10	et	NN
126	126	19	10	al	NN
127	127	20	10	.	OO
128	128	21	10	first	RB
129	129	22	10	introduced	VB
130	130	23	10	this	OO
131	131	24	10	method	NN
132	132	25	10	.spacer	NN
133	133	26	10	Inline_Profs	RB
134	134	27	10	.	OO
135	135	1	11	However	RB
136	136	2	11	,	OO
137	137	3	11	we	NN
138	138	4	11	were	VB
139	139	5	11	n't	RB
140	140	6	11	able	JJ
141	141	7	11	to	OO
142	142	8	11	reach	VB
143	143	9	11	Profs	NN
144	144	10	11	.	OO
145	145	1	12	Kowalski	NN
146	146	2	12	or	OO
147	147	3	12	Gambel	NN
148	148	4	12	for	OO
149	149	5	12	comment	NN
150	150	6	12	.spacer	OO
151	151	7	12	Inline_Jan	NN
152	152	8	12	.	OO
153	153	1	13	On	OO
154	154	2	13	Jan	NN
155	155	3	13	.	OO
156	156	4	13	25th	OO
157	157	5	13	,	OO
158	158	6	13	2016	OO
159	159	7	13	,	OO
160	160	8	13	the	OO
161	161	9	13	deputy	NN
162	162	10	13	commander	NN
163	163	11	13	of	OO
164	164	12	13	USFK	NN
165	165	13	13	made	VB
166	166	14	13	a	OO
167	167	15	13	statement	NN
168	168	16	13	pertaining	VB
169	169	17	13	to	OO
170	170	18	13	aerial	JJ
171	171	19	13	shows	NN
172	172	20	13	of	OO
173	173	21	13	force	NN
174	174	22	13	.spacer	NN
175	175	23	13	Inline	NN
176	176	24	13	_"	NN
177	177	25	13	Gen	NN
178	178	26	13	.	OO
179	179	27	13	"	OO
180	180	1	14	"	OO
181	181	2	14	The	OO
182	182	3	14	1st	JJ
183	183	4	14	Gen	NN
184	184	5	14	.	OO
185	185	6	14	Dreamcast	NN
186	186	7	14	was	VB
187	187	8	14	a	OO
188	188	9	14	pinnacle	NN
189	189	10	14	achievement	NN
190	190	11	14	in	OO
191	191	12	14	computer	NN
192	192	13	14	engineering	NN
193	193	14	14	,	OO
