indexInDoc	indexInText	token	taggerPOS	goldPOS	correct?
1	1	The	JJ	DT	NO
2	2	European	JJ	JJ	YES
3	3	insurance	NN	NN	YES
4	4	sector	NN	NN	YES
5	5	will	MD	MD	YES
6	6	soon	RB	RB	YES
7	7	be	VB	VB	YES
8	8	faced	VBN	VBN	YES
9	9	with	IN	IN	YES
10	10	the	DT	DT	YES
11	11	application	NN	NN	YES
12	12	of	IN	IN	YES
13	13	Solvency	NN	NNP	NO
14	14	2	CD	CD	YES
15	15	regulation	NN	NN	YES
16	16	norms	NNS	NNS	YES
17	18	It	PRP	PRP	YES
18	19	will	MD	MD	YES
19	20	create	VB	VB	YES
20	21	a	DT	DT	YES
21	22	real	JJ	JJ	YES
22	23	change	NN	NN	YES
23	24	in	IN	IN	YES
24	25	risk	NN	NN	YES
25	26	management	NN	NN	YES
26	27	practices	NNS	NNS	YES
27	29	The	DT	DT	YES
28	30	ORSA	NNP	NNP	YES
29	31	approach	NN	NN	YES
30	32	of	IN	IN	YES
31	33	the	DT	DT	YES
32	34	second	JJ	JJ	YES
33	35	pillar	NN	NN	YES
34	36	makes	VBZ	VBZ	YES
35	37	the	DT	DT	YES
36	38	capital	NN	NN	YES
37	39	allocation	NN	NN	YES
38	40	an	DT	DT	YES
39	41	important	JJ	JJ	YES
40	42	exercise	NN	NN	YES
41	43	for	IN	IN	YES
42	44	all	DT	DT	YES
43	45	insurers	NNS	NNS	YES
44	46	and	CC	CC	YES
45	47	specially	RB	RB	YES
46	48	for	IN	IN	YES
47	49	groups	NNS	NNS	YES
48	51	Considering	VBG	VBG	YES
49	55	firms	NNS	NNS	YES
50	57	capital	NN	NN	YES
51	58	allocation	NN	NN	YES
52	59	has	VBZ	VBZ	YES
53	60	to	TO	TO	YES
54	61	be	VB	VB	YES
55	62	based	VBN	VBN	YES
56	63	on	IN	IN	YES
57	64	a	DT	DT	YES
58	65	multivariate	NN	JJ	NO
59	66	risk	NN	NN	YES
60	67	modeling	NN	NN	YES
61	69	Several	JJ	JJ	YES
62	70	allocation	NN	NN	YES
63	71	methods	NNS	NNS	YES
64	72	are	VBP	VBP	YES
65	73	present	JJ	JJ	YES
66	74	in	IN	IN	YES
67	75	the	DT	DT	YES
68	76	literature	NN	NN	YES
69	77	and	CC	CC	YES
70	78	insurers	NNS	NNS	YES
71	79	practices	NNS	NNS	YES
72	81	In	IN	IN	YES
73	82	this	DT	DT	YES
74	83	paper	NN	NN	YES
75	85	we	PRP	PRP	YES
76	86	present	VBP	VBP	YES
77	87	a	DT	DT	YES
78	88	new	JJ	JJ	YES
79	89	risk	NN	NN	YES
80	90	allocation	NN	NN	YES
81	91	method	NN	NN	YES
82	93	we	PRP	PRP	YES
83	94	study	VB	VBP	NO
84	95	its	PRP$	PRP$	YES
85	96	coherence	NN	NN	YES
86	97	using	VBG	VBG	YES
87	98	an	DT	DT	YES
88	99	axiomatic	JJ	JJ	YES
89	100	approach	NN	NN	YES
90	102	and	CC	CC	YES
91	103	we	PRP	PRP	YES
92	104	try	VBP	VBP	YES
93	105	to	TO	TO	YES
94	106	define	VB	VB	YES
95	107	what	WP	WP	YES
96	108	the	DT	DT	YES
97	109	best	JJS	JJS	YES
98	110	allocation	NN	NN	YES
99	111	choice	NN	NN	YES
100	112	for	IN	IN	YES
101	113	an	DT	DT	YES
102	114	insurance	NN	NN	YES
103	115	group	NN	NN	YES
104	116	is	VBZ	VBZ	YES
105	118	Introduction	NN	??	NO
106	119	Solvency	NN	NNP	NO
107	120	2	CD	CD	YES
108	121	standards	NNS	NNS	YES
109	122	will	MD	MD	YES
110	123	make	VB	VB	YES
111	124	a	DT	DT	YES
112	125	radical	JJ	JJ	YES
113	126	change	NN	NN	YES
114	127	in	IN	IN	YES
115	128	risk	NN	NN	YES
116	129	management	NN	NN	YES
117	130	practices	NNS	NNS	YES
118	131	in	IN	IN	YES
119	132	the	DT	DT	YES
120	133	actuarial	JJ	JJ	YES
121	134	sector	NN	NN	YES
122	136	They	PRP	PRP	YES
123	137	are	VBP	VBP	YES
124	138	based	VBN	VBN	YES
125	139	on	IN	IN	YES
126	140	a	DT	DT	YES
127	141	strengthening	NN	NN	YES
128	142	of	IN	IN	YES
129	143	risk	NN	NN	YES
130	144	control	NN	NN	YES
131	145	and	CC	CC	YES
132	146	minimization	NN	NN	YES
133	147	of	IN	IN	YES
134	148	a	DT	DT	YES
135	149	ruin	NN	??	NO
136	150	probability	NN	NN	YES
137	152	The	DT	DT	YES
138	153	determination	NN	NN	YES
139	154	of	IN	IN	YES
140	155	the	DT	DT	YES
141	156	economic	JJ	JJ	YES
142	157	regulatory	JJ	JJ	YES
143	158	capital	NN	NN	YES
144	159	will	MD	MD	YES
145	160	be	VB	VB	YES
146	161	faced	VBN	VBN	YES
147	162	under	IN	IN	YES
148	163	this	DT	DT	YES
149	164	prudential	JJ	JJ	YES
150	165	mechanism	NN	NN	YES
151	166	with	IN	IN	YES
152	167	a	DT	DT	YES
153	168	kind	NN	NN	YES
154	169	of	IN	IN	YES
155	170	methodological	JJ	JJ	YES
156	171	revolution	NN	NN	YES
157	173	A	DT	DT	YES
158	174	choices	NNS	NNS	YES
159	175	of	IN	IN	YES
160	176	a	DT	DT	YES
161	177	dependence	NN	NN	YES
162	178	model	NN	NN	YES
163	179	between	IN	IN	YES
164	180	different	JJ	JJ	YES
165	181	risks	NNS	NNS	YES
166	182	and	CC	CC	YES
167	183	of	IN	IN	YES
168	184	an	DT	DT	YES
169	185	aggregation	NN	NN	YES
170	186	methodology	NN	NN	YES
171	187	are	VBP	VBP	YES
172	188	both	DT	DT	YES
173	189	required	VBN	VBN	YES
174	191	In	IN	IN	YES
175	192	the	DT	DT	YES
176	193	prescribed	JJ	VBN	NO
177	194	Standard	NNP	NNP	YES
178	195	Formula	NNP	NNP	YES
179	197	risks	NNS	NNS	YES
180	198	aggregation	NN	NN	YES
181	199	is	VBZ	VBZ	YES
182	200	done	VBN	VBN	YES
183	201	using	VBG	VBG	YES
184	202	correlation	NN	NN	YES
185	203	matrices	NNS	NNS	YES
186	204	that	WDT	WDT	YES
187	205	connect	VBP	VBP	YES
188	206	families	NNS	NNS	YES
189	207	and	CC	CC	YES
190	208	subfamilies	NNS	NNS	YES
191	209	of	IN	IN	YES
192	210	risks	NNS	NNS	YES
193	212	Recently	RB	RB	YES
194	213	the	DT	DT	YES
195	214	proof	NN	NN	YES
196	215	of	IN	IN	YES
197	216	factorization	NN	NN	YES
198	217	in	IN	IN	YES
199	218	heavy	JJ	JJ	YES
200	219	quarkonium	NN	NN	YES
201	220	production	NN	NN	YES
202	221	in	IN	IN	YES
203	222	NRQCD	NNP	NNP	YES
204	223	color	NN	NN	YES
205	224	octet	NN	NN	YES
206	225	mechanism	NN	NN	YES
207	226	is	VBZ	VBZ	YES
208	227	given	VBN	VBN	YES
209	228	at	IN	IN	YES
210	238	order	NN	NN	YES
211	240	NNLO	NNP	NN	NO
212	242	in	IN	IN	YES
213	243	coupling	VBG	VBG	YES
214	244	constant	JJ	JJ	YES
215	245	by	IN	IN	YES
216	246	using	VBG	VBG	YES
217	247	diagrammatic	JJ	JJ	YES
218	248	method	NN	NN	YES
219	249	of	IN	IN	YES
220	250	QCD	NNP	NNP	YES
221	252	In	IN	IN	YES
222	253	this	DT	DT	YES
223	254	paper	NN	NN	YES
224	255	we	PRP	PRP	YES
225	256	prove	VBP	VBP	YES
226	257	factorization	NN	NN	YES
227	258	in	IN	IN	YES
228	259	heavy	JJ	JJ	YES
229	260	quarkonium	NN	NN	YES
230	261	production	NN	NN	YES
231	262	in	IN	IN	YES
232	263	NRQCD	NNP	NNP	YES
233	264	color	NN	NN	YES
234	265	octet	NN	NN	YES
235	266	mechanism	NN	NN	YES
236	267	at	IN	IN	YES
237	268	all	DT	DT	YES
238	269	order	NN	NN	YES
239	270	in	IN	IN	YES
240	271	coupling	VBG	VBG	YES
241	272	constant	JJ	JJ	YES
242	273	by	IN	IN	YES
243	274	using	VBG	VBG	YES
244	275	path	NN	NN	YES
245	276	integral	JJ	JJ	YES
246	277	method	NN	NN	YES
247	278	of	IN	IN	YES
248	279	QCD	NNP	NNP	YES
249	281	Our	PRP$	PRP$	YES
250	282	proof	NN	NN	YES
251	283	is	VBZ	VBZ	YES
252	284	valid	JJ	JJ	YES
253	285	to	IN	TO	NO
254	286	all	DT	DT	YES
255	287	powers	NNS	NNS	YES
256	288	in	IN	IN	YES
257	289	the	DT	DT	YES
258	290	heavy	JJ	JJ	YES
259	291	quark	NN	NN	YES
260	292	relative	JJ	JJ	YES
261	293	velocity	NN	NN	YES
262	295	We	PRP	PRP	YES
263	296	find	VBP	VBP	YES
264	297	that	IN	IN	YES
265	298	the	DT	DT	YES
266	299	gauge	NN	NN	YES
267	300	invariance	NN	NN	YES
268	301	and	CC	CC	YES
269	302	the	DT	DT	YES
270	303	factorization	NN	NN	YES
271	304	at	IN	IN	YES
272	305	all	DT	DT	YES
273	306	order	NN	NN	YES
274	307	in	IN	IN	YES
275	308	coupling	VBG	VBG	YES
276	309	constant	JJ	JJ	YES
277	310	require	VBP	VBP	YES
278	317	NRQCD	NNP	NN	NO
279	318	matrix	NN	NN	YES
280	319	elements	NNS	NNS	YES
281	320	that	WDT	WDT	YES
282	321	were	VBD	VBD	YES
283	322	introduced	VBN	VBN	YES
284	323	previously	RB	RB	YES
285	324	to	TO	TO	YES
286	325	prove	VB	VB	YES
287	326	factorization	NN	NN	YES
288	327	at	IN	IN	YES
289	328	NNLO	NNP	NN	NO
290	330	INTRODUCTION	NN	??	NO
291	331	In	IN	IN	YES
292	332	the	DT	DT	YES
293	333	last	JJ	JJ	YES
294	334	two	CD	CD	YES
295	335	decades	NNS	NNS	YES
296	337	the	DT	DT	YES
297	338	NRQCD	NNP	NN	NO
298	339	color	NN	NN	YES
