indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	Abstract	NN
2	2	2	1	Based	VB
3	3	3	1	on	OO
4	4	4	1	the	OO
5	5	5	1	concept	NN
6	6	6	1	of	OO
7	7	7	1	DNA	NN
8	8	8	1	strand	NN
9	9	9	1	displacement	NN
10	10	10	1	and	OO
11	11	11	1	DNA	NN
12	12	12	1	strand	NN
13	13	13	1	algebra	NN
14	14	14	1	we	NN
15	15	15	1	have	VB
16	16	16	1	developed	VB
17	17	17	1	a	OO
18	18	18	1	method	NN
19	19	19	1	for	OO
20	20	20	1	logical	JJ
21	21	21	1	inference	NN
22	22	22	1	which	OO
23	23	23	1	is	VB
24	24	24	1	not	RB
25	25	25	1	based	VB
26	26	26	1	on	OO
27	27	27	1	silicon	NN
28	28	28	1	based	VB
29	29	29	1	computing	NN
30	31	1	2	Essentially	RB
31	33	3	2	it	NN
32	34	4	2	is	VB
33	35	5	2	a	OO
34	36	6	2	paradigm	NN
35	37	7	2	shift	NN
36	38	8	2	from	OO
37	39	9	2	silicon	NN
38	40	10	2	to	OO
39	41	11	2	carbon	NN
40	43	1	3	In	OO
41	44	2	3	this	OO
42	45	3	3	paper	NN
43	46	4	3	we	NN
44	47	5	3	have	VB
45	48	6	3	considered	VB
46	49	7	3	the	OO
47	50	8	3	inference	NN
48	51	9	3	mechanism	NN
49	53	11	3	viz	NN
50	55	1	4	modus	NN
51	56	2	4	ponens	NN
52	58	4	4	to	OO
53	59	5	4	draw	VB
54	60	6	4	conclusion	NN
55	61	7	4	from	OO
56	62	8	4	any	OO
57	63	9	4	observed	VB
58	64	10	4	fact	NN
59	66	1	5	Thus	RB
60	68	3	5	the	OO
61	69	4	5	present	JJ
62	70	5	5	approach	NN
63	71	6	5	to	OO
64	72	7	5	logical	JJ
65	73	8	5	inference	NN
66	74	9	5	based	VB
67	75	10	5	on	OO
68	76	11	5	DNA	NN
69	77	12	5	strand	NN
70	78	13	5	algebra	NN
71	79	14	5	is	VB
72	80	15	5	basically	RB
73	81	16	5	an	OO
74	82	17	5	attempt	NN
75	83	18	5	to	OO
76	84	19	5	develop	VB
77	85	20	5	expert	JJ
78	86	21	5	system	NN
79	87	22	5	design	NN
80	88	23	5	in	OO
81	89	24	5	the	OO
82	90	25	5	domain	NN
83	91	26	5	of	OO
84	92	27	5	DNA	NN
85	93	28	5	computing	NN
86	95	1	6	We	NN
87	96	2	6	have	VB
88	97	3	6	illustrated	VB
89	98	4	6	our	JJ
90	99	5	6	methodology	NN
91	100	6	6	with	OO
92	101	7	6	respect	NN
93	102	8	6	to	OO
94	103	9	6	worked	VB
95	104	10	6	out	OO
96	105	11	6	example	NN
97	107	1	7	Our	JJ
98	108	2	7	methodology	NN
99	109	3	7	is	VB
100	110	4	7	very	RB
101	111	5	7	flexible	JJ
102	112	6	7	for	OO
103	113	7	7	implementation	NN
104	114	8	7	of	OO
105	115	9	7	different	JJ
106	116	10	7	expert	NN
107	117	11	7	system	NN
108	118	12	7	applications	NN
109	120	1	8	Keywords	NN
110	122	3	8	logical	JJ
111	123	4	8	inference	NN
112	125	6	8	DNA	NN
113	126	7	8	strand	NN
114	127	8	8	algebra	NN
115	129	10	8	DNA	NN
116	130	11	8	gate	NN
117	132	13	8	DNA	NN
118	133	14	8	signal	NN
119	135	16	8	process	NN
120	136	17	8	algebra	NN
121	138	19	8	DNA	NN
122	139	20	8	computing	NN
123	141	22	8	modus	NN
124	142	23	8	ponens	NN
125	144	25	8	strand	JJ
126	145	26	8	displacement	NN
127	147	28	8	molecular	JJ
128	148	29	8	computing	NN
129	150	31	8	expert	JJ
130	151	32	8	system	NN
131	152	33	8	approach	NN
132	154	1	9	1	OO
133	156	3	9	Introduction	NN
134	157	4	9	Conventional	NN
135	158	5	9	silicon	NN
136	159	6	9	based	VB
137	160	7	9	computing	NN
138	161	8	9	has	VB
139	162	9	9	been	VB
140	163	10	9	successful	JJ
141	164	11	9	over	OO
142	165	12	9	the	OO
143	166	13	9	past	JJ
144	167	14	9	several	JJ
145	168	15	9	decades	NN
146	170	1	10	It	NN
147	171	2	10	is	VB
148	172	3	10	fast	RB
149	174	5	10	flexible	JJ
150	176	7	10	and	OO
151	177	8	10	well	RB
152	178	9	10	understood	VB
153	180	1	11	But	OO
154	181	2	11	it	NN
155	182	3	11	has	VB
156	183	4	11	reached	VB
157	184	5	11	its	JJ
158	185	6	11	limitations	NN
159	186	7	11	of	OO
160	187	8	11	design	NN
161	188	9	11	complexity	NN
162	190	11	11	processing	VB
163	191	12	11	power	NN
164	193	14	11	memory	NN
165	195	16	11	energy	NN
166	196	17	11	consumption	NN
167	198	19	11	density	NN
168	199	20	11	and	OO
169	200	21	11	heat	NN
170	201	22	11	dissipation	NN
171	203	1	12	Alternatives	NN
172	204	2	12	to	OO
173	205	3	12	these	OO
174	206	4	12	traditional	JJ
175	207	5	12	methods	NN
176	208	6	12	of	OO
177	209	7	12	building	VB
178	210	8	12	computers	NN
179	211	9	12	have	VB
180	212	10	12	been	VB
181	213	11	12	proposed	VB
182	214	12	12	and	OO
183	215	13	12	in	OO
184	216	14	12	recent	JJ
185	217	15	12	past	JJ
186	218	16	12	molecular	JJ
187	219	17	12	computing	NN
188	220	18	12	has	VB
189	221	19	12	gained	VB
190	222	20	12	considerable	JJ
191	223	21	12	attention	NN
192	224	22	12	for	OO
193	225	23	12	nonsilicon	JJ
194	226	24	12	based	VB
195	227	25	12	computing	NN
196	228	26	12	which	OO
197	229	27	12	can	VB
198	230	28	12	overcome	VB
199	231	29	12	conventional	JJ
200	232	30	12	computation	NN
201	233	31	12	problems	NN
202	235	1	13	The	OO
203	236	2	13	WatsonCrick	NN
204	237	3	13	base	NN
205	238	4	13	pairing	NN
206	239	5	13	makes	VB
207	240	6	13	DNA	NN
208	241	7	13	a	OO
209	242	8	13	powerful	JJ
210	243	9	13	tool	NN
211	244	10	13	for	OO
212	245	11	13	engineering	NN
213	246	12	13	at	OO
214	247	13	13	nanoscale	JJ
215	248	14	13	Adleman	NN
216	250	16	13	1994	OO
217	252	18	13	Benenson	NN
218	253	19	13	et	NN
219	254	20	13	al	NN
220	257	23	13	2001	OO
221	259	25	13	Green	NN
222	260	26	13	et	NN
223	261	27	13	al	NN
224	264	30	13	2006	OO
225	266	32	13	Winfree	NN
226	267	33	13	et	NN
227	268	34	13	al	NN
228	271	37	13	1998	OO
229	273	1	14	The	OO
230	274	2	14	behaviour	NN
231	275	3	14	of	OO
232	276	4	14	DNA	NN
233	277	5	14	molecules	NN
234	278	6	14	can	VB
235	279	7	14	be	VB
236	280	8	14	predicted	VB
237	282	10	14	and	OO
238	283	11	14	by	OO
239	284	12	14	setting	VB
240	285	13	14	2	OO
241	286	14	14	up	OO
242	287	15	14	strands	NN
243	288	16	14	of	OO
244	289	17	14	DNA	NN
245	290	18	14	in	OO
246	291	19	14	the	OO
247	292	20	14	right	JJ
248	293	21	14	way	NN
249	295	23	14	they	NN
250	296	24	14	can	VB
251	297	25	14	draw	VB
252	298	26	14	conclusion	NN
253	299	27	14	from	OO
254	300	28	14	a	OO
255	301	29	14	set	NN
256	302	30	14	of	OO
257	303	31	14	logical	JJ
258	304	32	14	inference	NN
259	305	33	14	rules	NN
260	306	34	14	Ray	NN
261	307	35	14	and	OO
262	308	36	14	Mondal	NN
263	310	38	14	2011a	OO
264	312	40	14	Ray	NN
265	313	41	14	and	OO
266	314	42	14	Mondal	NN
267	316	44	14	2011b	OO
268	318	1	15	In	OO
269	319	2	15	this	OO
270	320	3	15	paper	NN
271	321	4	15	we	NN
272	322	5	15	have	VB
273	323	6	15	performed	VB
274	324	7	15	logical	JJ
275	325	8	15	reasoning	NN
276	326	9	15	by	OO
277	327	10	15	modus	JJ
278	328	11	15	ponens	NN
279	329	12	15	using	VB
280	330	13	15	DNA	NN
281	331	14	15	strand	NN
282	332	15	15	algebra	NN
283	334	17	15	which	OO
284	335	18	15	can	VB
285	336	19	15	be	VB
286	337	20	15	defined	VB
287	338	21	15	as	OO
288	339	22	15	a	OO
289	340	23	15	branch	NN
290	341	24	15	of	OO
291	342	25	15	process	NN
292	343	26	15	algebra	NN
293	345	1	16	The	OO
294	346	2	16	operations	NN
295	347	3	16	of	OO
296	348	4	16	DNA	NN
297	349	5	16	strands	NN
298	350	6	16	in	OO
299	351	7	16	present	JJ
300	352	8	16	model	NN
301	353	9	16	are	VB
302	354	10	16	based	VB
303	355	11	16	on	OO
304	356	12	16	the	OO
305	357	13	16	mechanism	NN
306	358	14	16	of	OO
307	359	15	16	DNA	NN
308	360	16	16	strand	NN
309	361	17	16	displacement	NN
310	363	1	17	Process	NN
311	364	2	17	algebras	NN
312	365	3	17	are	VB
313	366	4	17	widely	RB
314	367	5	17	used	VB
315	368	6	17	for	OO
316	369	7	17	defining	VB
317	370	8	17	the	OO
318	371	9	17	formal	JJ
319	372	10	17	semantics	NN
320	373	11	17	of	OO
321	374	12	17	concurrent	JJ
322	375	13	17	communicating	JJ
323	376	14	17	processes	NN
324	378	1	18	Process	NN
325	379	2	18	calculi	NN
326	380	3	18	provide	VB
327	381	4	18	a	OO
328	382	5	18	tool	NN
329	383	6	18	for	OO
330	384	7	18	the	OO
331	385	8	18	highlevel	JJ
332	386	9	18	description	NN
333	387	10	18	of	OO
334	388	11	18	interactions	NN
335	390	13	18	communications	NN
336	392	15	18	and	OO
337	393	16	18	synchronizations	NN
338	394	17	18	between	OO
339	395	18	18	a	OO
340	396	19	18	collection	NN
341	397	20	18	of	OO
342	398	21	18	independent	JJ
343	399	22	18	agents	NN
344	400	23	18	or	OO
345	401	24	18	processes	NN
346	403	1	19	They	NN
347	404	2	19	also	RB
348	405	3	19	provide	VB
349	406	4	19	algebraic	JJ
350	407	5	19	laws	NN
351	408	6	19	that	OO
352	409	7	19	allow	VB
353	410	8	19	process	NN
354	411	9	19	descriptions	NN
355	412	10	19	to	OO
356	413	11	19	be	VB
357	414	12	19	manipulated	VB
358	415	13	19	and	OO
359	416	14	19	analyzed	VB
360	418	16	19	and	OO
361	419	17	19	permit	VB
362	420	18	19	formal	JJ
363	421	19	19	reasoning	NN
364	422	20	19	about	OO
365	423	21	19	equivalences	NN
366	424	22	19	between	OO
