indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	spacer	NN
2	2	2	1	Between	OO
3	3	3	1	us	NN
4	4	4	1	there	OO
5	5	5	1	was	VB
6	6	6	1	,	OO
7	7	7	1	as	OO
8	8	8	1	I	NN
9	9	9	1	have	VB
10	10	10	1	already	RB
11	11	11	1	said	VB
12	12	12	1	somewhere	RB
13	13	13	1	,	OO
14	14	14	1	the	OO
15	15	15	1	bond	NN
16	16	16	1	of	OO
17	17	17	1	the	OO
18	18	18	1	sea	NN
19	19	19	1	.	OO
20	20	1	2	Besides	OO
21	21	2	2	holding	VB
22	22	3	2	our	JJ
23	23	4	2	hearts	NN
24	24	5	2	together	RB
25	25	6	2	through	OO
26	26	7	2	long	JJ
27	27	8	2	periods	NN
28	28	9	2	of	OO
29	29	10	2	separation	NN
30	30	11	2	,	OO
31	31	12	2	it	NN
32	32	13	2	had	VB
33	33	14	2	the	OO
34	34	15	2	effect	NN
35	35	16	2	of	OO
36	36	17	2	making	VB
37	37	18	2	us	NN
38	38	19	2	tolerant	JJ
39	39	20	2	of	OO
40	40	21	2	each	OO
41	41	22	2	other	JJ
42	42	23	2	's	OO
43	43	24	2	yarns	NN
44	44	25	2	--	OO
45	45	26	2	and	OO
46	46	27	2	even	RB
47	47	28	2	convictions	NN
48	48	29	2	.	OO
49	49	1	3	The	OO
50	50	2	3	Lawyer	NN
51	51	3	3	--	OO
52	52	4	3	the	OO
53	53	5	3	best	JJ
54	54	6	3	of	OO
55	55	7	3	old	JJ
56	56	8	3	fellows	NN
57	57	9	3	--	OO
58	58	10	3	had	VB
59	59	11	3	,	OO
60	60	12	3	because	OO
61	61	13	3	of	OO
62	62	14	3	his	JJ
63	63	15	3	many	JJ
64	64	16	3	years	NN
65	65	17	3	and	OO
66	66	18	3	many	JJ
67	67	19	3	virtues	NN
68	68	20	3	,	OO
69	69	21	3	the	OO
70	70	22	3	only	JJ
71	71	23	3	cushion	NN
72	72	24	3	on	OO
73	73	25	3	deck	NN
74	74	26	3	,	OO
75	75	27	3	spacerand	NN
76	76	28	3	was	VB
77	77	29	3	lying	VB
78	78	30	3	on	OO
79	79	31	3	the	OO
80	80	32	3	only	JJ
81	81	33	3	rug	NN
82	82	34	3	.	OO
83	83	1	4	The	OO
84	84	2	4	Accountant	NN
85	85	3	4	had	VB
86	86	4	4	brought	VB
87	87	5	4	out	OO
88	88	6	4	already	RB
89	89	7	4	a	OO
90	90	8	4	box	NN
91	91	9	4	of	OO
92	92	10	4	dominoes	NN
93	93	11	4	,	OO
94	94	12	4	and	OO
95	95	13	4	was	VB
96	96	14	4	toying	VB
97	97	15	4	architecturally	RB
98	98	16	4	with	OO
99	99	17	4	the	OO
100	100	18	4	bones	NN
101	101	19	4	.	OO
102	102	1	5	Marlow	NN
103	103	2	5	sat	VB
104	104	3	5	cross-legged	JJ
105	105	4	5	right	JJ
106	106	5	5	aft	NN
107	107	6	5	,	OO
108	108	7	5	leaning	VB
109	109	8	5	against	OO
110	110	9	5	the	OO
111	111	10	5	mizzen-mast	NN
112	112	11	5	.	OO
113	113	1	6	He	NN
114	114	2	6	had	VB
115	115	3	6	sunken	JJ
116	116	4	6	cheeks	NN
117	117	5	6	,	OO
118	118	6	6	a	OO
119	119	7	6	yellow	JJ
120	120	8	6	complexion	NN
121	121	9	6	,	OO
122	122	10	6	a	OO
123	123	11	6	straight	RB
124	124	12	6	back	RB
125	125	13	6	,	OO
126	126	14	6	an	OO
127	127	15	6	ascetic	JJ
128	128	16	6	aspect	NN
129	129	17	6	,	OO
130	130	18	6	and	OO
131	131	19	6	,	OO
132	132	20	6	with	OO
133	133	21	6	his	JJ
134	134	22	6	arms	NN
135	135	23	6	dropped	VB
136	136	24	6	,	OO
137	137	25	6	the	OO
138	138	26	6	palms	NN
139	139	27	6	of	OO
140	140	28	6	hands	NN
141	141	29	6	outwards	RB
142	142	30	6	,	OO
143	143	31	6	resembled	VB
144	144	32	6	an	OO
145	145	33	6	idol	NN
146	146	34	6	.	OO
147	147	1	7	The	OO
148	148	2	7	director	NN
