indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	Recently	RB
2	2	1	the	DT
3	3	1	proof	NN
4	4	1	of	IN
5	5	1	factorization	NN
6	6	1	in	IN
7	7	1	heavy	JJ
8	8	1	quarkonium	NN
9	9	1	production	NN
10	10	1	in	IN
11	11	1	NRQCD	NNP
12	12	1	color	NN
13	13	1	octet	NN
14	14	1	mechanism	NN
15	15	1	is	VBZ
16	16	1	given	VBN
17	17	1	at	IN
18	18	1	next-to-next-to-leading	JJ
19	19	1	order	NN
20	20	1	(	-LRB-
21	21	1	NNLO	NN
22	22	1	)	-RRB-
23	23	1	in	IN
24	24	1	coupling	NN
25	25	1	constant	JJ
26	26	1	by	IN
27	27	1	using	VBG
28	28	1	diagrammatic	JJ
29	29	1	method	NN
30	30	1	of	IN
31	31	1	QCD	NNP
32	32	1	.	.
33	1	2	In	IN
34	2	2	this	DT
35	3	2	paper	NN
36	4	2	we	PRP
37	5	2	prove	VBP
38	6	2	factorization	NN
39	7	2	in	IN
40	8	2	heavy	JJ
41	9	2	quarkonium	NN
42	10	2	production	NN
43	11	2	in	IN
44	12	2	NRQCD	NNP
45	13	2	color	NN
46	14	2	octet	NN
47	15	2	mechanism	NN
48	16	2	at	IN
49	17	2	all	DT
50	18	2	order	NN
51	19	2	in	IN
52	20	2	coupling	NN
53	21	2	constant	JJ
54	22	2	by	IN
55	23	2	using	VBG
56	24	2	path	NN
57	25	2	integral	JJ
58	26	2	method	NN
59	27	2	of	IN
60	28	2	QCD	NNP
61	29	2	.	.
62	1	3	Our	PRP$
63	2	3	proof	NN
64	3	3	is	VBZ
65	4	3	valid	JJ
66	5	3	to	TO
67	6	3	all	DT
68	7	3	powers	NNS
69	8	3	in	IN
70	9	3	the	DT
71	10	3	heavy	JJ
72	11	3	quark	NN
73	12	3	relative	JJ
74	13	3	velocity	NN
75	14	3	.	.
76	1	4	We	PRP
77	2	4	find	VBP
78	3	4	that	IN
79	4	4	the	DT
80	5	4	gauge	NN
81	6	4	invariance	NN
82	7	4	and	CC
83	8	4	the	DT
84	9	4	factorization	NN
85	10	4	at	IN
86	11	4	all	DT
87	12	4	order	NN
88	13	4	in	IN
89	14	4	coupling	NN
90	15	4	constant	JJ
91	16	4	require	VBP
92	17	4	gauge-completed	JJ
93	18	4	non-perturbative	JJ
94	19	4	NRQCD	NN
95	20	4	matrix	NN
96	21	4	elements	NNS
97	22	4	that	WDT
98	23	4	were	VBD
99	24	4	introduced	VBN
100	25	4	previously	RB
101	26	4	to	TO
102	27	4	prove	VB
103	28	4	factorization	NN
104	29	4	at	IN
105	30	4	NNLO	NNP
106	31	4	.	.
107	1	5	INTRODUCTION	NN
108	2	5	In	IN
109	3	5	the	DT
110	4	5	last	JJ
111	5	5	two	CD
112	6	5	decades	NNS
113	7	5	,	,
114	8	5	the	DT
115	9	5	NRQCD	NNP
116	10	5	color	NN
117	11	5	octet	NN
118	12	5	mechanism	NN
119	13	5	[	-LRB-
120	14	5	1	CD
121	15	5	]	-RRB-
122	16	5	for	IN
123	17	5	heavy	JJ
124	18	5	quarkonium	NN
125	19	5	production	NN
126	20	5	has	VBZ
127	21	5	been	VBN
128	22	5	very	RB
129	23	5	successful	JJ
130	24	5	in	IN
131	25	5	explaining	VBG
132	26	5	experimental	JJ
133	27	5	data	NNS
134	28	5	at	IN
135	29	5	high	JJ
136	30	5	energy	NN
137	31	5	colliders	NNS
138	32	5	such	JJ
139	33	5	as	IN
140	34	5	at	IN
141	35	5	Tevatron	NNP
142	36	5	[	-LRB-
143	37	5	2	CD
144	38	5	]	-RRB-
145	39	5	and	CC
146	40	5	at	IN
147	41	5	LHC	NNP
148	42	5	[	-LRB-
149	43	5	3	CD
150	44	5	]	-RRB-
151	45	5	.	.
152	1	6	In	IN
153	2	6	its	PRP$
154	3	6	original	JJ
155	4	6	formulation	NN
156	5	6	[	-LRB-
157	6	6	1	CD
158	7	6	]	-RRB-
159	8	6	the	DT
160	9	6	proof	NN
161	10	6	of	IN
162	11	6	factorization	NN
163	12	6	in	IN
164	13	6	heavy	JJ
165	14	6	quarkonium	NN
166	15	6	production	NN
167	16	6	in	IN
168	17	6	NRQCD	NNP
169	18	6	color	NN
170	19	6	octet	NN
171	20	6	mechanism	NN
172	21	6	was	VBD
173	22	6	lacking	VBG
174	23	6	.	.
175	1	7	The	DT
176	2	7	proof	NN
177	3	7	of	IN
178	4	7	factorization	NN
179	5	7	is	VBZ
180	6	7	an	DT
181	7	7	essential	JJ
182	8	7	requirement	NN
183	9	7	to	TO
184	10	7	study	VB
185	11	7	heavy	JJ
186	12	7	quarkonium	NN
187	13	7	production	NN
188	14	7	at	IN
189	15	7	high	JJ
190	16	7	energy	NN
191	17	7	colliders	NNS
192	18	7	.	.
193	1	8	Factorization	NN
