indexInDoc	indexInText	token	taggerPOS	goldPOS	correct?
1	1	The	DT	DT	YES
2	2	European	JJ	JJ	YES
3	3	insurance	NN	NN	YES
4	4	sector	NN	NN	YES
5	5	will	MD	MD	YES
6	6	soon	RB	RB	YES
7	7	be	VB	VB	YES
8	8	faced	VBN	VBN	YES
9	9	with	IN	IN	YES
10	10	the	DT	DT	YES
11	11	application	NN	NN	YES
12	12	of	IN	IN	YES
13	13	Solvency	NNP	NNP	YES
14	14	2	CD	CD	YES
15	15	regulation	NN	NN	YES
16	16	norms	NNS	NNS	YES
17	18	It	PRP	PRP	YES
18	19	will	MD	MD	YES
19	20	create	VB	VB	YES
20	21	a	DT	DT	YES
21	22	real	JJ	JJ	YES
22	23	change	NN	NN	YES
23	24	in	IN	IN	YES
24	25	risk	NN	NN	YES
25	26	management	NN	NN	YES
26	27	practices	NNS	NNS	YES
27	29	The	DT	DT	YES
28	30	ORSA	NNP	NNP	YES
29	31	approach	NN	NN	YES
30	32	of	IN	IN	YES
31	33	the	DT	DT	YES
32	34	second	JJ	JJ	YES
33	35	pillar	NN	NN	YES
34	36	makes	VBZ	VBZ	YES
35	37	the	DT	DT	YES
36	38	capital	NN	NN	YES
37	39	allocation	NN	NN	YES
38	40	an	DT	DT	YES
39	41	important	JJ	JJ	YES
40	42	exercise	NN	NN	YES
41	43	for	IN	IN	YES
42	44	all	DT	DT	YES
43	45	insurers	NNS	NNS	YES
44	46	and	CC	CC	YES
45	47	specially	RB	RB	YES
46	48	for	IN	IN	YES
47	49	groups	NNS	NNS	YES
48	51	Considering	VBG	VBG	YES
49	53	firms	NNS	NNS	YES
50	55	capital	NN	NN	YES
51	56	allocation	NN	NN	YES
52	57	has	VBZ	VBZ	YES
53	58	to	TO	TO	YES
54	59	be	VB	VB	YES
55	60	based	VBN	VBN	YES
56	61	on	IN	IN	YES
57	62	a	DT	DT	YES
58	63	multivariate	JJ	JJ	YES
59	64	risk	NN	NN	YES
60	65	modeling	NN	NN	YES
61	67	Several	JJ	JJ	YES
62	68	allocation	NN	NN	YES
63	69	methods	NNS	NNS	YES
64	70	are	VBP	VBP	YES
65	71	present	JJ	JJ	YES
66	72	in	IN	IN	YES
67	73	the	DT	DT	YES
68	74	literature	NN	NN	YES
69	75	and	CC	CC	YES
70	76	insurers	NNS	NNS	YES
71	77	practices	NNS	NNS	YES
72	79	In	IN	IN	YES
73	80	this	DT	DT	YES
74	81	paper	NN	NN	YES
75	83	we	PRP	PRP	YES
76	84	present	VBP	VBP	YES
77	85	a	DT	DT	YES
78	86	new	JJ	JJ	YES
79	87	risk	NN	NN	YES
80	88	allocation	NN	NN	YES
81	89	method	NN	NN	YES
82	91	we	PRP	PRP	YES
83	92	study	VBP	VBP	YES
84	93	its	PRP$	PRP$	YES
85	94	coherence	NN	NN	YES
86	95	using	VBG	VBG	YES
87	96	an	DT	DT	YES
88	97	axiomatic	JJ	JJ	YES
89	98	approach	NN	NN	YES
90	100	and	CC	CC	YES
91	101	we	PRP	PRP	YES
92	102	try	VBP	VBP	YES
93	103	to	TO	TO	YES
94	104	define	VB	VB	YES
95	105	what	WP	WP	YES
96	106	the	DT	DT	YES
97	107	best	JJS	JJS	YES
98	108	allocation	NN	NN	YES
99	109	choice	NN	NN	YES
100	110	for	IN	IN	YES
101	111	an	DT	DT	YES
102	112	insurance	NN	NN	YES
103	113	group	NN	NN	YES
