indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	spacer	NN
2	2	2	1	/	OO
3	3	3	1	/	OO
4	4	4	1	MATH/SCI	NN
5	5	5	1	8spacerEndWith_az	NN
6	6	6	1	.	OO
7	7	1	2	az.az	OO
8	8	2	2	The	OO
9	9	3	2	following	VB
10	10	4	2	command	NN
11	11	5	2	generates	VB
12	12	6	2	nlp4j.txt.nlp.spacerInline	NN
13	13	7	2	_	OO
14	14	8	2	obj.method	NN
15	15	9	2	(	OO
16	16	10	2	)	OO
17	17	11	2	Capital	NN
18	18	12	2	allocation	NN
19	19	13	2	is	VB
20	20	14	2	an	OO
21	21	15	2	internal	JJ
22	22	16	2	exercise	NN
23	23	17	2	calculated	VB
24	24	18	2	by	OO
25	25	19	2	class	NN
26	26	20	2	method	NN
27	27	21	2	scr.capital	NN
28	28	22	2	(	OO
29	29	23	2	)	OO
30	30	24	2	,	OO
31	31	25	2	certainly	RB
32	32	26	2	not	RB
33	33	27	2	controlled	VB
34	34	28	2	by	OO
35	35	29	2	the	OO
36	36	30	2	first	JJ
37	37	31	2	pillar.spacerInline	NN
38	38	32	2	_	OO
39	39	33	2	MathematicalOperator	NN
40	40	34	2	|	OO
41	41	35	2	<w>	JJ
42	42	36	2	|	NN
43	43	37	2	The	OO
44	44	38	2	univeriate	JJ
45	45	39	2	risk	NN
46	46	40	2	measure	NN
47	47	41	2	|	OO
48	48	42	2	<w>	NN
49	49	43	2	|	NN
50	50	44	2	can	VB
51	51	45	2	also	RB
52	52	46	2	be	VB
53	53	47	2	used	VB
54	54	48	2	as	OO
55	55	49	2	an	OO
56	56	50	2	allocation	NN
57	57	51	2	principle.spacerInline	NN
58	58	52	2	_	OO
59	59	53	2	x	OO
60	60	54	2	^	OO
61	61	55	2	1.2	OO
62	62	56	2	We	NN
63	63	57	2	found	VB
64	64	58	2	that	OO
65	65	59	2	the	OO
66	66	60	2	model	NN
67	67	61	2	Mw	NN
68	68	62	2	,	OO
69	69	63	2	x	NN
70	70	64	2	=	JJ
71	71	65	2	wx	NN
72	72	66	2	^	NN
73	73	67	2	1.2	OO
74	74	68	2	approximated	VB
75	75	69	2	the	OO
76	76	70	2	system	NN
77	77	71	2	's	OO
78	78	72	2	behavior	NN
79	79	73	2	adequately.spacerspacerInline	NN
80	80	74	2	_	OO
81	81	75	2	Tab	NN
82	82	76	2	.	OO
83	83	1	3	The	OO
84	84	2	3	case	NN
85	85	3	3	of	OO
86	86	4	3	insurance	NN
