indexInDoc	token	posTag	
1	The	??	DT
2	European	JJ	
3	insurance	NN	
4	sector	NN	
5	will	MD	
6	soon	RB	
7	be	VB	
8	faced	VBN	
9	with	IN	
10	the	DT	
11	application	NN	
12	of	IN	
13	Solvency	??	NNP
14	2	CD	
15	regulation	NN	
16	norms	NNS	
17	It	PRP	
18	will	MD	
19	create	VB	
20	a	DT	
21	real	JJ	
22	change	NN	
23	in	IN	
24	risk	NN	
25	management	NN	
26	practices	NNS	
27	The	DT	
28	ORSA	NNP	
29	approach	NN	
30	of	IN	
31	the	DT	
32	second	JJ	
33	pillar	NN	
34	makes	VBZ	
35	the	DT	
36	capital	NN	
37	allocation	NN	
38	an	DT	
39	important	JJ	
40	exercise	NN	
41	for	IN	
42	all	DT	
43	insurers	NNS	
44	and	CC	
45	specially	RB	
46	for	IN	
47	groups	NNS	
48	Considering	VBG	
49	firms	NNS	
50	capital	NN	
51	allocation	NN	
52	has	VBZ	
53	to	TO	
54	be	VB	
55	based	VBN	
56	on	IN	
57	a	DT	
58	multivariate	??	JJ
59	risk	NN	
60	modeling	NN	
61	Several	JJ	
62	allocation	NN	
63	methods	NNS	
64	are	VBP	
65	present	JJ	
66	in	IN	
67	the	DT	
68	literature	NN	
69	and	CC	
70	insurers	NNS	
71	practices	NNS	
72	In	IN	
73	this	DT	
74	paper	NN	
75	we	PRP	
76	present	VBP	
77	a	DT	
78	new	JJ	
79	risk	NN	
80	allocation	NN	
81	method	NN	
82	we	PRP	
83	study	??	VBP
84	its	PRP$	
85	coherence	NN	
86	using	VBG	
87	an	DT	
88	axiomatic	JJ	
89	approach	NN	
90	and	CC	
91	we	PRP	
92	try	VBP	
93	to	TO	
94	define	VB	
95	what	WP	
96	the	DT	
97	best	JJS	
98	allocation	NN	
99	choice	NN	
100	for	IN	
101	an	DT	
102	insurance	NN	
103	group	NN	
104	is	VBZ	
105	Introduction	??	NNP
106	Solvency	??	NNP
107	2	CD	
108	standards	NNS	
109	will	MD	
110	make	VB	
111	a	DT	
112	radical	JJ	
113	change	NN	
114	in	IN	
115	risk	NN	
116	management	NN	
117	practices	NNS	
118	in	IN	
119	the	DT	
120	actuarial	JJ	
121	sector	NN	
122	They	PRP	
123	are	VBP	
124	based	VBN	
125	on	IN	
126	a	DT	
127	strengthening	NN	
128	of	IN	
129	risk	NN	
130	control	NN	
131	and	CC	
132	minimization	NN	
133	of	IN	
134	a	DT	
135	ruin	??	VBZ
136	probability	NN	
137	The	DT	
138	determination	NN	
139	of	IN	
140	the	DT	
141	economic	JJ	
142	regulatory	JJ	
143	capital	NN	
144	will	MD	
145	be	VB	
146	faced	VBN	
147	under	IN	
148	this	DT	
149	prudential	JJ	
150	mechanism	NN	
151	with	IN	
152	a	DT	
153	kind	NN	
154	of	IN	
155	methodological	JJ	
156	revolution	NN	
157	A	DT	
158	choices	NNS	
159	of	IN	
160	a	DT	
161	dependence	NN	
162	model	NN	
163	between	IN	
164	different	JJ	
165	risks	NNS	
166	and	CC	
167	of	IN	
168	an	DT	
169	aggregation	NN	
170	methodology	NN	
171	are	VBP	
172	both	DT	
173	required	VBN	
174	In	IN	
175	the	DT	
176	prescribed	??	VBN
177	Standard	NNP	
178	Formula	NNP	
179	risks	??	VBG
180	aggregation	NN	
181	is	VBZ	
182	done	VBN	
183	using	VBG	
184	correlation	NN	
185	matrices	NNS	
186	that	WDT	
187	connect	VBP	
188	families	NNS	
189	and	CC	
190	subfamilies	NNS	
191	of	IN	
192	risks	NNS	
193	Recently	RB	
194	the	DT	
195	proof	NN	
196	of	IN	
197	factorization	NN	
198	in	IN	
199	heavy	JJ	
200	quarkonium	NN	
201	production	NN	
202	in	IN	
203	NRQCD	NNP	
204	color	NN	
205	octet	NN	
206	mechanism	NN	
207	is	VBZ	
208	given	VBN	
209	at	IN	
210	order	NN	
211	NNLO	??	??
212	in	IN	
213	coupling	??	VBG
214	constant	JJ	
215	by	IN	
216	using	VBG	
217	diagrammatic	JJ	
218	method	NN	
219	of	IN	
220	QCD	NNP	
221	In	IN	
222	this	DT	
223	paper	NN	
224	we	PRP	
225	prove	VBP	
226	factorization	NN	
227	in	IN	
228	heavy	JJ	
229	quarkonium	NN	
230	production	NN	
231	in	IN	
232	NRQCD	NNP	
233	color	NN	
234	octet	NN	
235	mechanism	NN	
236	at	IN	
237	all	DT	
238	order	NN	
239	in	IN	
240	coupling	??	VBG
241	constant	JJ	
242	by	IN	
243	using	VBG	
244	path	NN	
245	integral	JJ	
246	method	NN	
247	of	IN	
248	QCD	NNP	
249	Our	PRP$	
250	proof	NN	
251	is	VBZ	
252	valid	JJ	
253	to	??	TO
254	all	DT	
255	powers	NNS	
256	in	IN	
257	the	DT	
258	heavy	JJ	
259	quark	NN	
260	relative	JJ	
261	velocity	NN	
262	We	PRP	
263	find	VBP	
264	that	IN	
265	the	DT	
266	gauge	NN	
267	invariance	NN	
268	and	CC	
269	the	DT	
270	factorization	NN	
271	at	IN	
272	all	DT	
273	order	NN	
274	in	IN	
275	coupling	??	JJ
276	constant	JJ	
277	require	VBP	
278	NRQCD	??	NNP
279	matrix	NN	
280	elements	NNS	
281	that	WDT	
282	were	VBD	
283	introduced	VBN	
284	previously	RB	
285	to	TO	
286	prove	VB	
287	factorization	NN	
288	at	IN	
289	NNLO	NNP	
290	INTRODUCTION	??	NNP
291	In	IN	
292	the	DT	
293	last	JJ	
294	two	CD	
295	decades	NNS	
296	the	DT	
297	NRQCD	NNP	
298	color	NN	
299	octet	??	JJ
300	mechanism	NN	
301	1	??	CD
302	for	IN	
303	heavy	JJ	
304	quarkonium	NN	
305	production	NN	
306	has	VBZ	
307	been	VBN	
308	very	RB	
309	successful	JJ	
310	in	IN	
311	explaining	VBG	
312	experimental	JJ	
313	data	NNS	
314	at	IN	
315	high	JJ	
316	energy	NN	
317	colliders	NNS	
318	such	JJ	
319	as	IN	
320	at	IN	
321	Tevatron	NNP	
322	2	CD	
323	and	CC	
324	at	IN	
325	LHC	NNP	
326	3	??	CD
327	In	IN	
328	its	PRP$	
329	original	JJ	
330	formulation	NN	
331	1	??	CD
332	the	DT	
333	proof	NN	
334	of	IN	
335	factorization	NN	
336	in	IN	
337	heavy	JJ	
338	quarkonium	NN	
339	production	NN	
340	in	IN	
341	NRQCD	NNP	
342	color	NN	
343	octet	NN	
344	mechanism	NN	
345	was	VBD	
346	lacking	VBG	
347	The	DT	
348	proof	NN	
349	of	IN	
350	factorization	NN	
351	is	VBZ	
352	an	DT	
353	essential	JJ	
354	requirement	NN	
355	to	TO	
356	study	VB	
357	heavy	JJ	
358	quarkonium	NN	
359	production	NN	
360	at	IN	
361	high	JJ	
362	energy	NN	
363	colliders	NNS	
364	Factorization	NN	
365	refers	VBZ	
366	to	??	TO
367	separation	NN	
368	of	IN	
369	effects	NNS	
370	from	IN	
371	effects	NNS	
372	in	IN	
373	quantum	??	JJ
374	field	NN	
375	theory	NN	
376	We	??	PRP
377	propose	??	VB
378	algorithms	??	NNS
379	to	TO	
380	approximate	??	VB
381	directed	VBN	
382	information	NN	
383	graphs	NNS	
384	Directed	??	VBN
385	information	NN	
386	graphs	NNS	
387	are	VBP	
388	probabilistic	JJ	
389	graphical	JJ	
390	models	NNS	
391	that	WDT	
392	depict	VBP	
393	causal	JJ	
394	dependencies	NNS	
395	between	IN	
396	stochastic	JJ	
397	processes	NNS	
398	in	IN	
399	a	DT	
400	network	NN	
401	The	DT	
402	proposed	VBN	
403	algorithms	NNS	
