indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag	lemma	nerTag
1	1	1	1	The	OO	the	O
2	2	2	1	justice	NN	justice	O
3	3	3	1	department	NN	department	O
4	4	4	1	indictment	NN	indictment	O
5	5	5	1	shed	VB	shed	O
6	6	6	1	significant	JJ	significant	O
7	7	7	1	light	NN	light	O
8	8	8	1	on	OO	on	O
9	9	9	1	the	OO	the	O
10	10	10	1	hackers	NN	hacker	O
11	11	11	1	'	OO	'	O
12	12	12	1	tradecraft	NN	tradecraft	O
13	13	13	1	.	OO	.	O
14	14	1	2	According	VB	accord	O
15	15	2	2	to	OO	to	O
16	16	3	2	the	OO	the	O
17	17	4	2	indictment	NN	indictment	O
18	18	5	2	,	OO	,	O
19	19	6	2	not	RB	not	O
20	20	7	2	only	RB	only	O
21	21	8	2	did	VB	do	O
22	22	9	2	the	OO	the	O
23	23	10	2	hackers	NN	hacker	O
24	24	11	2	write	VB	write	O
25	25	12	2	authentication	NN	authentication	O
26	26	13	2	cookies	NN	cookie	O
27	27	14	2	for	OO	for	O
28	28	15	2	use	NN	use	O
29	29	16	2	on	OO	on	O
30	30	17	2	their	JJ	they	O
31	31	18	2	own	JJ	own	O
32	32	19	2	computers	NN	computer	O
33	33	20	2	,	OO	,	O
34	34	21	2	they	NN	they	O
35	35	22	2	were	VB	be	O
36	36	23	2	also	RB	also	O
37	37	24	2	able	JJ	able	O
38	38	25	2	to	OO	to	O
39	39	26	2	forge	VB	forge	O
40	40	27	2	cookies	NN	cookie	O
41	41	28	2	,	OO	,	O
42	42	29	2	upload	VB	upload	O
43	43	30	2	them	NN	they	O
44	44	31	2	to	OO	to	O
45	45	32	2	Yahoo	NN	Yahoo	ORGANIZATION
46	46	33	2	's	OO	's	O
47	47	34	2	system	NN	system	O
48	48	35	2	and	OO	and	O
49	49	36	2	push	VB	push	O
50	50	37	2	them	NN	they	O
51	51	38	2	to	OO	to	O
52	52	39	2	individual	JJ	individual	O
53	53	40	2	users	NN	user	O
54	54	41	2	they	NN	they	O
55	55	42	2	wished	VB	wish	O
56	56	43	2	to	OO	to	O
57	57	44	2	target	VB	target	O
58	58	45	2	,	OO	,	O
59	59	46	2	according	VB	accord	O
60	60	47	2	to	OO	to	O
61	61	48	2	the	OO	the	O
62	62	49	2	indictment	NN	indictment	O
63	63	50	2	.	OO	.	O
64	64	1	3	The	OO	the	O
65	65	2	3	issue	NN	issue	O
66	66	3	3	of	OO	of	O
67	67	4	3	capital	NN	capital	O
68	68	5	3	allocation	NN	allocation	O
69	69	6	3	in	OO	in	O
70	70	7	3	a	OO	a	O
71	71	8	3	multivariate	JJ	multivariate	O
72	72	9	3	context	NN	context	O
73	73	10	3	arises	VB	arise	O
74	74	11	3	from	OO	from	O
75	75	12	3	the	OO	the	O
76	76	13	3	presence	NN	presence	O
77	77	14	3	of	OO	of	O
78	78	15	3	dependence	NN	dependence	O
79	79	16	3	between	OO	between	O
80	80	17	3	the	OO	the	O
81	81	18	3	various	JJ	various	O
82	82	19	3	risky	JJ	risky	O
83	83	20	3	activities	NN	activity	O
84	84	21	3	in	OO	in	O
85	85	22	3	Section	NN	section	O
86	86	23	3	2.4.5	OO	2.4.5	NUMBER
87	87	24	3	which	OO	which	O
88	88	25	3	may	VB	may	O
89	89	26	3	generate	VB	generate	O
90	90	27	3	a	OO	a	O
91	91	28	3	diversification	NN	diversification	O
92	92	29	3	effect	NN	effect	O
93	93	30	3	.	OO	.	O
94	94	1	4	The	OO	the	O
95	95	2	4	following	VB	follow	O
96	96	3	4	command	NN	command	O
