indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	1	The	OO
2	2	2	1	justice	NN
3	3	3	1	department	NN
4	4	4	1	indictment	NN
5	5	5	1	shed	VB
6	6	6	1	significant	JJ
7	7	7	1	light	NN
8	8	8	1	on	OO
9	9	9	1	the	OO
10	10	10	1	hackers	NN
11	11	11	1	’	OO
12	12	12	1	tradecraft	NN
13	13	13	1	.	OO
14	14	1	2	According	VB
15	15	2	2	to	OO
16	16	3	2	the	OO
17	17	4	2	indictment	NN
18	18	5	2	,	OO
19	19	6	2	not	RB
20	20	7	2	only	RB
21	21	8	2	did	VB
22	22	9	2	the	OO
23	23	10	2	hackers	NN
24	24	11	2	write	VB
25	25	12	2	authentication	NN
26	26	13	2	cookies	NN
27	27	14	2	for	OO
28	28	15	2	use	NN
29	29	16	2	on	OO
30	30	17	2	their	JJ
31	31	18	2	own	JJ
32	32	19	2	computers	NN
33	33	20	2	,	OO
34	34	21	2	they	NN
35	35	22	2	were	VB
36	36	23	2	also	RB
37	37	24	2	able	JJ
38	38	25	2	to	OO
39	39	26	2	forge	VB
40	40	27	2	cookies	NN
41	41	28	2	,	OO
42	42	29	2	upload	JJ
43	43	30	2	them	NN
44	44	31	2	to	OO
45	45	32	2	Yahoo’s	NN
46	46	33	2	system	NN
47	47	34	2	and	OO
48	48	35	2	push	VB
49	49	36	2	them	NN
50	50	37	2	to	OO
51	51	38	2	individual	JJ
52	52	39	2	users	NN
53	53	40	2	they	NN
54	54	41	2	wished	VB
55	55	42	2	to	OO
56	56	43	2	target	VB
57	57	44	2	,	OO
58	58	45	2	according	VB
59	59	46	2	to	OO
60	60	47	2	the	OO
61	61	48	2	indictment	NN
62	62	49	2	.	OO
63	63	1	3	The	OO
64	64	2	3	issue	NN
65	65	3	3	of	OO
66	66	4	3	capital	NN
67	67	5	3	allocation	NN
68	68	6	3	in	OO
69	69	7	3	a	OO
70	70	8	3	multivariate	JJ
71	71	9	3	context	NN
72	72	10	3	arises	VB
73	73	11	3	from	OO
74	74	12	3	the	OO
75	75	13	3	presence	NN
76	76	14	3	of	OO
77	77	15	3	dependence	NN
78	78	16	3	between	OO
79	79	17	3	the	OO
80	80	18	3	various	JJ
81	81	19	3	risky	JJ
82	82	20	3	activities	NN
83	83	21	3	in	OO
84	84	22	3	Section	NN
85	85	23	3	2.4.5	OO
86	86	24	3	which	OO
87	87	25	3	may	VB
88	88	26	3	generate	VB
89	89	27	3	a	OO
90	90	28	3	diversification	NN
91	91	29	3	effect	NN
92	92	30	3	.	OO
93	93	1	4	The	OO
94	94	2	4	following	VB
95	95	3	4	command	NN
96	96	4	4	generates	VB
97	97	5	4	nlp4j.txt.nlp	NN
98	98	6	4	.	OO
99	99	1	5	It	NN
100	100	2	5	uses	VB
101	101	3	5	config-decode-en	JJ
102	102	4	5	.xml	NN
103	103	5	5	.	OO
104	104	1	6	Capital	NN
105	105	2	6	allocation	NN
106	106	3	6	is	VB
107	107	4	6	an	OO
108	108	5	6	internal	JJ
109	109	6	6	exercise	NN
110	110	7	6	calculated	VB
111	111	8	6	by	OO
112	112	9	6	class	NN
113	113	10	6	method	NN
114	114	11	6	scr.capital(	NN
115	115	12	6	)	OO
116	116	13	6	,	OO
117	117	14	6	certainly	RB
118	118	15	6	not	RB
119	119	16	6	controlled	VB
120	120	17	6	by	OO
121	121	18	6	the	OO
122	122	19	6	first	JJ
123	123	20	6	pillar	NN
124	124	21	6	.	OO
125	125	1	7	Several	JJ
126	126	2	7	allocation	NN
127	127	3	7	methods	NN
128	128	4	7	in	OO
129	129	5	7	the	OO
130	130	6	7	literature	NN
131	131	7	7	use	NN
132	132	8	7	w=(	VB
133	133	9	7	l1[i]	JJ
134	134	10	7	,p1[j]	NN
135	135	11	7	)	OO
136	136	12	7	to	OO
137	137	13	7	initialize	VB
138	138	14	7	the	OO
139	139	15	7	choice	NN
140	140	16	7	of	OO
141	141	17	7	a	OO
142	142	18	7	univariate	JJ
143	143	19	7	risk	NN
144	144	20	7	measure	NN
145	145	21	7	.	OO
146	146	1	8	The	OO
147	147	2	8	univeriate	JJ
148	148	3	8	risk	NN
149	149	4	8	measure	NN
150	150	5	8	|<w>	OO
151	151	6	8	|	NN
152	152	7	8	can	VB
153	153	8	8	also	RB
154	154	9	8	be	VB
155	155	10	8	used	VB
156	156	11	8	as	OO
157	157	12	8	an	OO
158	158	13	8	allocation	NN
159	159	14	8	principle	NN
160	160	15	8	.	OO
161	161	1	9	The	OO
162	162	2	9	Shapley	NN
163	163	3	9	method	NN
164	164	4	9	of	OO
165	165	5	9	both	OO
166	166	6	9	sides	NN
167	167	7	9	of	OO
168	168	8	9	Eqs	NN
169	169	9	9	.	OO
170	170	1	10	(	OO
171	171	2	10	6	OO
172	172	3	10	)	OO
173	173	4	10	–(	NN
174	174	5	10	14	OO
175	175	6	10	)	OO
176	176	7	10	is	VB
177	177	8	10	based	VB
178	178	9	10	on	OO
179	179	10	10	cooperative	JJ
180	180	11	10	game	NN
181	181	12	10	theory	NN
182	182	13	10	.	OO
183	183	1	11	We	NN
184	184	2	11	found	VB
185	185	3	11	that	OO
186	186	4	11	the	OO
187	187	5	11	model	NN
188	188	6	11	Mw	NN
189	189	7	11	,x	NN
190	190	8	11	=	OO
191	191	9	11	wx^1.2	OO
192	192	1	12	approximated	VB
193	193	2	12	the	OO
194	194	3	12	system	NN
195	195	4	12	's	OO
196	196	5	12	behavior	NN
197	197	6	12	adequately	RB
198	198	7	12	.	OO
199	199	1	13	Dr.	NN
200	200	2	13	Denault	NN
201	201	3	13	proved	VB
202	202	4	13	that	OO
203	203	5	13	this	OO
204	204	6	13	method	NN
205	205	7	13	,	OO
206	206	8	13	originally	RB
207	207	9	13	used	VB
