indexInText	indexInSentence	sentenceNumber	token	posTag	lemma
1	1	1	The	DT	The
2	2	1	justice	NN	justice
3	3	1	department	NN	department
4	4	1	indictment	NN	indictment
5	5	1	shed	VBD	shed
6	6	1	significant	JJ	significant
7	7	1	light	NN	light
8	8	1	on	IN	on
9	9	1	the	DT	the
10	10	1	hackers’	NN	hackers’
11	11	1	tradecraft	NN	tradecraft
12	12	1	.	.	.
13	1	2	According	VBG	According
14	2	2	to	TO	to
15	3	2	the	DT	the
16	4	2	indictment	NN	indictment
17	5	2	,	,	,
18	6	2	not	RB	not
19	7	2	only	RB	only
20	8	2	did	VBD	do
21	9	2	the	DT	the
22	10	2	hackers	NNS	hacker
23	11	2	write	VBP	write
24	12	2	authentication	NN	authentication
25	13	2	cookies	NNS	cooky
26	14	2	for	IN	for
27	15	2	use	NN	use
28	16	2	on	IN	on
29	17	2	their	PRP$	their
30	18	2	own	JJ	own
31	19	2	computers	NNS	computer
32	20	2	,	,	,
33	21	2	they	PRP	they
34	22	2	were	VBD	be
35	23	2	also	RB	also
36	24	2	able	JJ	able
37	25	2	to	TO	to
38	26	2	forge	VB	forge
39	27	2	cookies	NNS	cooky
40	28	2	,	,	,
41	29	2	upload	VBP	upload
42	30	2	them	PRP	them
43	31	2	to	TO	to
44	32	2	Yahoo’s	NNP	Yahoo’s
45	33	2	system	NN	system
46	34	2	and	CC	and
47	35	2	push	VB	push
48	36	2	them	PRP	them
49	37	2	to	TO	to
50	38	2	individual	JJ	individual
51	39	2	users	NNS	user
52	40	2	they	PRP	they
53	41	2	wished	VBD	wish
54	42	2	to	TO	to
55	43	2	target	VB	target
56	44	2	,	,	,
57	45	2	according	VBG	accord
58	46	2	to	TO	to
59	47	2	the	DT	the
60	48	2	indictment	NN	indictment
61	49	2	.	.	.
62	1	3	The	DT	The
63	2	3	issue	NN	issue
64	3	3	of	IN	of
65	4	3	capital	NN	capital
66	5	3	allocation	NN	allocation
67	6	3	in	IN	in
68	7	3	a	DT	a
69	8	3	multivariate	NN	multivariate
70	9	3	context	NN	context
71	10	3	arises	VBZ	arise
72	11	3	from	IN	from
73	12	3	the	DT	the
74	13	3	presence	NN	presence
75	14	3	of	IN	of
76	15	3	dependence	NN	dependence
77	16	3	between	IN	between
78	17	3	the	DT	the
79	18	3	various	JJ	various
80	19	3	risky	JJ	risky
81	20	3	activities	NNS	activity
82	21	3	in	IN	in
83	22	3	Section	NNP	Section
84	23	3	2.4.5	CD	2.4.5
85	24	3	which	WDT	which
86	25	3	may	MD	may
87	26	3	generate	VB	generate
88	27	3	a	DT	a
89	28	3	diversification	NN	diversification
90	29	3	effect	NN	effect
91	30	3	.	.	.
92	1	4	The	DT	The
93	2	4	following	JJ	following
94	3	4	command	NN	command
95	4	4	generates	NNS	generates
96	5	4	nlp4j.txt.nlp	VBP	nlp4j.txt.nlp
97	6	4	.	.	.
98	1	5	It	PRP	It
99	2	5	uses	VBZ	use
100	3	5	config-decode-en.xml	NN	config-decode-en.xml
101	4	5	.	.	.
102	1	6	Capital	NN	Capital
103	2	6	allocation	NN	allocation
104	3	6	is	VBZ	be
105	4	6	an	DT	an
106	5	6	internal	JJ	internal
107	6	6	exercise	NN	exercise
108	7	6	calculated	VBN	calculate
109	8	6	by	IN	by
110	9	6	class	NN	class
111	10	6	method	NN	method
112	11	6	scr.capital	NN	scr.capital
113	12	6	(	(	(
114	13	6	)	)	)
115	14	6	,	,	,
116	15	6	certainly	RB	certainly
117	16	6	not	RB	not
118	17	6	controlled	VBN	control
119	18	6	by	IN	by
120	19	6	the	DT	the
121	20	6	first	JJ	first
122	21	6	pillar	NN	pillar
123	22	6	.	.	.
124	1	7	Several	JJ	Several
125	2	7	allocation	NN	allocation
126	3	7	methods	NNS	method
127	4	7	in	IN	in
128	5	7	the	DT	the
129	6	7	literature	NN	literature
130	7	7	use	NN	use
131	8	7	w=	NN	w=
132	9	7	(	(	(
133	10	7	l1	JJ	l1
134	11	7	[	NN	[
135	12	7	i	NN	i
