indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	﻿Abstract	NN
2	2	1	Based	VB
3	3	1	on	OO
4	4	1	the	OO
5	5	1	concept	NN
6	6	1	of	OO
7	7	1	DNA	NN
8	8	1	strand	NN
9	9	1	displacement	NN
10	10	1	and	OO
11	11	1	DNA	NN
12	12	1	strand	NN
13	13	1	algebra	NN
14	14	1	we	NN
15	15	1	have	VB
16	16	1	developed	VB
17	17	1	a	OO
18	18	1	method	NN
19	19	1	for	OO
20	20	1	logical	JJ
21	21	1	inference	NN
22	22	1	which	OO
23	23	1	is	VB
24	24	1	not	RB
25	25	1	based	VB
26	26	1	on	OO
27	27	1	silicon	NN
28	28	1	based	VB
29	29	1	computing	NN
30	30	1	.	OO
31	1	2	Essentially	RB
32	2	2	,	OO
33	3	2	it	NN
34	4	2	is	VB
35	5	2	a	OO
36	6	2	paradigm	NN
37	7	2	shift	NN
38	8	2	from	OO
39	9	2	silicon	NN
40	10	2	to	OO
41	11	2	carbon	NN
42	12	2	.	OO
43	1	3	In	OO
44	2	3	this	OO
45	3	3	paper	NN
46	4	3	we	NN
47	5	3	have	VB
48	6	3	considered	VB
49	7	3	the	OO
50	8	3	inference	NN
51	9	3	mechanism	NN
52	10	3	,	OO
53	11	3	viz	NN
54	12	3	.	OO
55	1	4	modus	NN
56	2	4	ponens	NN
57	3	4	,	OO
58	4	4	to	OO
59	5	4	draw	VB
60	6	4	conclusion	NN
61	7	4	from	OO
62	8	4	any	OO
63	9	4	observed	VB
64	10	4	fact	NN
65	11	4	.	OO
66	1	5	Thus	RB
67	2	5	,	OO
68	3	5	the	OO
69	4	5	present	JJ
70	5	5	approach	NN
71	6	5	to	OO
72	7	5	logical	JJ
73	8	5	inference	NN
74	9	5	based	VB
75	10	5	on	OO
76	11	5	DNA	NN
77	12	5	strand	NN
78	13	5	algebra	NN
79	14	5	is	VB
80	15	5	basically	RB
81	16	5	an	OO
82	17	5	attempt	NN
83	18	5	to	OO
84	19	5	develop	VB
85	20	5	expert	JJ
86	21	5	system	NN
87	22	5	design	NN
88	23	5	in	OO
89	24	5	the	OO
90	25	5	domain	NN
91	26	5	of	OO
92	27	5	DNA	NN
93	28	5	computing	NN
94	29	5	.	OO
95	1	6	We	NN
96	2	6	have	VB
97	3	6	illustrated	VB
98	4	6	our	JJ
99	5	6	methodology	NN
100	6	6	with	OO
101	7	6	respect	NN
102	8	6	to	OO
103	9	6	worked	VB
104	10	6	out	OO
105	11	6	example	NN
106	12	6	.	OO
107	1	7	Our	JJ
108	2	7	methodology	NN
109	3	7	is	VB
110	4	7	very	RB
111	5	7	flexible	JJ
112	6	7	for	OO
113	7	7	implementation	NN
114	8	7	of	OO
115	9	7	different	JJ
116	10	7	expert	NN
117	11	7	system	NN
118	12	7	applications	NN
119	13	7	.	OO
120	1	8	Keywords	NN
121	2	8	:	OO
122	3	8	logical	JJ
123	4	8	inference	NN
124	5	8	,	OO
125	6	8	DNA	NN
126	7	8	strand	NN
127	8	8	algebra	NN
128	9	8	;	OO
129	10	8	DNA	NN
130	11	8	gate	NN
131	12	8	;	OO
132	13	8	DNA	NN
133	14	8	signal	NN
134	15	8	;	OO
135	16	8	process	NN
136	17	8	algebra	NN
137	18	8	;	OO
138	19	8	DNA	NN
139	20	8	computing	NN
140	21	8	;	OO
141	22	8	modus	NN
142	23	8	ponens	NN
143	24	8	;	OO
144	25	8	strand	JJ
145	26	8	displacement	NN
146	27	8	;	OO
147	28	8	molecular	JJ
148	29	8	computing	NN
149	30	8	;	OO
150	31	8	expert	JJ
151	32	8	system	NN
152	33	8	approach	NN
153	34	8	.	OO
154	1	9	1	OO
155	2	9	.	OO
156	3	9	Introduction	NN
157	4	9	Conventional	NN
158	5	9	silicon	NN
159	6	9	based	VB
160	7	9	computing	NN
161	8	9	has	VB
162	9	9	been	VB
163	10	9	successful	JJ
164	11	9	over	OO
165	12	9	the	OO
166	13	9	past	JJ
167	14	9	several	JJ
168	15	9	decades	NN
169	16	9	.	OO
170	1	10	It	NN
171	2	10	is	VB
172	3	10	fast	RB
173	4	10	,	OO
174	5	10	flexible	JJ
175	6	10	,	OO
176	7	10	and	OO
177	8	10	well	RB
178	9	10	understood	VB
179	10	10	.	OO
180	1	11	But	OO
181	2	11	it	NN
182	3	11	has	VB
183	4	11	reached	VB
184	5	11	its	JJ
185	6	11	limitations	NN
186	7	11	of	OO
187	8	11	design	NN
188	9	11	complexity	NN
189	10	11	,	OO
190	11	11	processing	VB
191	12	11	power	NN
192	13	11	,	OO
193	14	11	memory	NN
194	15	11	,	OO
195	16	11	energy	NN
196	17	11	consumption	NN
197	18	11	,	OO
198	19	11	density	NN
199	20	11	and	OO
200	21	11	heat	NN
201	22	11	dissipation	NN
202	23	11	.	OO
203	1	12	Alternatives	NN
204	2	12	to	OO
205	3	12	these	OO
206	4	12	traditional	JJ
207	5	12	methods	NN
208	6	12	of	OO
209	7	12	building	VB
210	8	12	computers	NN
211	9	12	have	VB
212	10	12	been	VB
213	11	12	proposed	VB
214	12	12	and	OO
215	13	12	in	OO
216	14	12	recent	JJ
217	15	12	past	JJ
218	16	12	molecular	JJ
219	17	12	computing	NN
220	18	12	has	VB
221	19	12	gained	VB
222	20	12	considerable	JJ
223	21	12	attention	NN
224	22	12	for	OO
225	23	12	non-silicon	JJ
226	24	12	based	VB
227	25	12	computing	NN
228	26	12	which	OO
229	27	12	can	VB
230	28	12	overcome	VB
231	29	12	conventional	JJ
232	30	12	computation	NN
233	31	12	problems	NN
234	32	12	.	OO
235	1	13	The	OO
236	2	13	Watson-Crick	NN
237	3	13	base	NN
238	4	13	pairing	NN
239	5	13	makes	VB
240	6	13	DNA	NN
241	7	13	a	OO
242	8	13	powerful	JJ
243	9	13	tool	NN
244	10	13	for	OO
245	11	13	engineering	NN
246	12	13	at	OO
247	13	13	nano-scale	JJ
248	14	13	[Adleman	NN
249	15	13	,	OO
250	16	13	1994	OO
251	17	13	;	OO
252	18	13	Benenson	NN
253	19	13	et	NN
254	20	13	al	NN
255	21	13	.	OO
256	22	13	,	OO
257	23	13	2001	OO
258	24	13	;	OO
259	25	13	Green	NN
260	26	13	et	NN
261	27	13	al	NN
262	28	13	.	OO
263	29	13	,	OO
264	30	13	2006	OO
265	31	13	;	OO
266	32	13	Winfree	NN
267	33	13	et	NN
268	34	13	al	NN
269	35	13	.	OO
270	36	13	,	OO
271	37	13	1998]	OO
272	38	13	.	OO
273	1	14	The	OO
274	2	14	behaviour	NN
275	3	14	of	OO
276	4	14	DNA	NN
277	5	14	molecules	NN
278	6	14	can	VB
279	7	14	be	VB
280	8	14	predicted	VB
281	9	14	,	OO
282	10	14	and	OO
283	11	14	by	OO
284	12	14	setting	VB
285	13	14	2	OO
286	14	14	up	OO
287	15	14	strands	NN
288	16	14	of	OO
289	17	14	DNA	NN
290	18	14	in	OO
291	19	14	the	OO
292	20	14	right	JJ
293	21	14	way	NN
294	22	14	,	OO
295	23	14	they	NN
296	24	14	can	VB
297	25	14	draw	VB
298	26	14	conclusion	NN
299	27	14	from	OO
300	28	14	a	OO
301	29	14	set	NN
302	30	14	of	OO
303	31	14	logical	JJ
304	32	14	inference	NN
305	33	14	rules	NN
306	34	14	[Ray	NN
307	35	14	and	OO
308	36	14	Mondal	NN
309	37	14	,	OO
310	38	14	2011a	OO
311	39	14	;	OO
312	40	14	Ray	NN
313	41	14	and	OO
314	42	14	Mondal	NN
315	43	14	,	OO
316	44	14	2011b]	OO
317	45	14	.	OO
318	1	15	In	OO
319	2	15	this	OO
320	3	15	paper	NN
321	4	15	we	NN
322	5	15	have	VB
323	6	15	performed	VB
324	7	15	logical	JJ
325	8	15	reasoning	NN
326	9	15	by	OO
327	10	15	modus	JJ
328	11	15	ponens	NN
329	12	15	using	VB
330	13	15	DNA	NN
331	14	15	strand	NN
332	15	15	algebra	NN
333	16	15	,	OO
334	17	15	which	OO
335	18	15	can	VB
336	19	15	be	VB
337	20	15	defined	VB
338	21	15	as	OO
339	22	15	a	OO
340	23	15	branch	NN
341	24	15	of	OO
342	25	15	process	NN
343	26	15	algebra	NN
344	27	15	.	OO
345	1	16	The	OO
346	2	16	operations	NN
347	3	16	of	OO
348	4	16	DNA	NN
349	5	16	strands	NN
350	6	16	in	OO
351	7	16	present	JJ
352	8	16	model	NN
353	9	16	are	VB
354	10	16	based	VB
355	11	16	on	OO
356	12	16	the	OO
357	13	16	mechanism	NN
358	14	16	of	OO
359	15	16	DNA	NN
360	16	16	strand	NN
361	17	16	displacement	NN
362	18	16	.	OO
363	1	17	Process	NN
364	2	17	algebras	NN
365	3	17	are	VB
366	4	17	widely	RB
367	5	17	used	VB
368	6	17	for	OO
369	7	17	defining	VB
370	8	17	the	OO
371	9	17	formal	JJ
372	10	17	semantics	NN
373	11	17	of	OO
374	12	17	concurrent	JJ
375	13	17	communicating	JJ
376	14	17	processes	NN
377	15	17	.	OO
378	1	18	Process	NN
379	2	18	calculi	NN
380	3	18	provide	VB
381	4	18	a	OO
382	5	18	tool	NN
383	6	18	for	OO
384	7	18	the	OO
385	8	18	high-level	JJ
386	9	18	description	NN
387	10	18	of	OO
388	11	18	interactions	NN
389	12	18	,	OO
390	13	18	communications	NN
391	14	18	,	OO
392	15	18	and	OO
393	16	18	synchronizations	NN
394	17	18	between	OO
395	18	18	a	OO
396	19	18	collection	NN
397	20	18	of	OO
398	21	18	independent	JJ
399	22	18	agents	NN
400	23	18	or	OO
401	24	18	processes	NN
402	25	18	.	OO
403	1	19	They	NN
404	2	19	also	RB
405	3	19	provide	VB
406	4	19	algebraic	JJ
407	5	19	laws	NN
408	6	19	that	OO
409	7	19	allow	VB
410	8	19	process	NN
411	9	19	descriptions	NN
412	10	19	to	OO
413	11	19	be	VB
414	12	19	manipulated	VB
415	13	19	and	OO
416	14	19	analyzed	VB
417	15	19	,	OO
418	16	19	and	OO
419	17	19	permit	VB
420	18	19	formal	JJ
421	19	19	reasoning	NN
422	20	19	about	OO
423	21	19	equivalences	NN
424	22	19	between	OO
425	23	19	processes	NN
426	24	19	.	OO
427	1	20	The	OO
428	2	20	main	JJ
429	3	20	components	NN
430	4	20	of	OO
431	5	20	DNA	NN
432	6	20	strand	NN
433	7	20	algebra	NN
434	8	20	are	VB
435	9	20	DNA	NN
436	10	20	strands	NN
437	11	20	,	OO
438	12	20	DNA	NN
439	13	20	gates	NN
440	14	20	,	OO
441	15	20	and	OO
442	16	20	their	JJ
443	17	20	interactions	NN
444	18	20	.	OO
445	1	21	2.	OO
446	2	21	DNA	NN
447	3	21	strand	NN
448	4	21	algebra	NN
449	5	21	:	OO
450	6	21	syntax	NN
451	7	21	and	OO
452	8	21	semantics	NN
