indexInDoc	token	ssplit	posTag
1	The	--	OO
2	studio	--	NN
3	was	--	VB
4	filled	--	VB
5	with	--	OO
6	the	--	OO
7	rich	--	JJ
8	odour	--	NN
9	of	--	OO
10	roses	--	NN
11	and	--	OO
12	when	--	RB
13	the	--	OO
14	light	--	JJ
15	summer	--	NN
16	wind	--	NN
17	stirred	--	VB
18	amidst	--	OO
19	the	--	OO
20	trees	--	NN
21	of	--	OO
22	the	--	OO
23	garden	--	NN
24	there	--	OO
25	came	--	VB
26	through	--	OO
27	the	--	OO
28	open	--	JJ
29	door	--	NN
30	the	--	OO
31	heavy	--	JJ
32	scent	--	NN
33	of	--	OO
34	the	--	OO
35	lilac	--	NN
36	or	--	OO
37	the	--	OO
38	more	--	JJ
39	delicate	--	JJ
40	perfume	--	NN
41	of	--	OO
42	the	--	OO
43	pinkflowering	--	JJ
44	thorn	SPLIT	NN
45	From	--	OO
46	the	--	OO
47	corner	--	NN
48	of	--	OO
49	the	--	OO
50	divan	--	NN
51	of	--	OO
52	Persian	--	??
53	saddlebags	--	NN
54	on	--	OO
55	which	--	OO
56	he	--	NN
57	was	--	VB
58	lying	--	VB
59	smoking	--	??
60	as	--	OO
61	was	--	VB
62	his	--	JJ
63	custom	--	NN
64	innumerable	--	JJ
65	cigarettes	--	NN
66	Lord	--	NN
67	Henry	--	NN
68	Wotton	--	NN
69	could	--	VB
70	just	--	RB
71	catch	--	VB
72	the	--	OO
73	gleam	--	NN
74	of	--	OO
75	the	--	OO
76	honeysweet	--	JJ
77	and	--	OO
78	honeycoloured	--	JJ
79	blossoms	--	NN
80	of	--	OO
81	a	--	OO
82	laburnum	--	NN
83	whose	--	JJ
84	tremulous	--	JJ
85	branches	--	NN
86	seemed	--	VB
87	hardly	--	RB
88	able	--	JJ
89	to	--	OO
90	bear	--	VB
91	the	--	OO
92	burden	--	NN
93	of	--	OO
94	a	--	OO
95	beauty	--	NN
96	so	--	RB
97	flamelike	--	JJ
98	as	--	OO
99	theirs	--	NN
100	and	--	OO
101	now	--	RB
102	and	--	OO
103	then	--	RB
104	the	--	OO
105	fantastic	--	JJ
106	shadows	--	NN
107	of	--	OO
108	birds	--	NN
109	in	--	OO
110	flight	--	NN
111	flitted	--	VB
112	across	--	OO
113	the	--	OO
114	long	--	JJ
115	tussoresilk	--	NN
116	curtains	--	NN
117	that	--	OO
118	were	--	VB
119	stretched	--	VB
120	in	--	OO
121	front	--	NN
122	of	--	OO
123	the	--	OO
124	huge	--	JJ
125	window	--	NN
126	producing	--	VB
127	a	--	OO
128	kind	--	NN
129	of	--	OO
130	momentary	--	JJ
