indexInText	indexInSentence	sentenceNumber	token	posTag
1	1	1	Abstract	JJ
2	2	1	Based	VB
3	3	1	on	OO
4	4	1	the	OO
5	5	1	concept	NN
6	6	1	of	OO
7	7	1	DNA	NN
8	8	1	strand	NN
9	9	1	displacement	NN
10	10	1	and	OO
11	11	1	DNA	NN
12	12	1	strand	NN
13	13	1	algebra	NN
14	14	1	we	NN
15	15	1	have	VB
16	16	1	developed	VB
17	17	1	a	OO
18	18	1	method	NN
19	19	1	for	OO
20	20	1	logical	JJ
21	21	1	inference	NN
22	22	1	which	OO
23	23	1	is	VB
24	24	1	not	RB
25	25	1	based	VB
26	26	1	on	OO
27	27	1	silicon	NN
28	28	1	based	VB
29	29	1	computing	NN
30	30	1	.	OO
31	1	2	Essentially	RB
32	2	2	,	OO
33	3	2	it	NN
34	4	2	is	VB
35	5	2	a	OO
36	6	2	paradigm	NN
37	7	2	shift	NN
38	8	2	from	OO
39	9	2	silicon	NN
40	10	2	to	OO
41	11	2	carbon	NN
42	12	2	.	OO
43	1	3	In	OO
44	2	3	this	OO
45	3	3	paper	NN
46	4	3	we	NN
47	5	3	have	VB
48	6	3	considered	VB
49	7	3	the	OO
50	8	3	inference	NN
51	9	3	mechanism	NN
52	10	3	,	OO
53	11	3	viz	NN
54	12	3	.	OO
55	1	4	modus	NN
56	2	4	ponens	NN
57	3	4	,	OO
58	4	4	to	OO
59	5	4	draw	VB
60	6	4	conclusion	NN
61	7	4	from	OO
62	8	4	any	OO
63	9	4	observed	VB
64	10	4	fact	NN
65	11	4	.	OO
66	1	5	Thus	RB
67	2	5	,	OO
68	3	5	the	OO
69	4	5	present	JJ
70	5	5	approach	NN
71	6	5	to	OO
72	7	5	logical	JJ
73	8	5	inference	NN
74	9	5	based	VB
75	10	5	on	OO
76	11	5	DNA	NN
77	12	5	strand	NN
78	13	5	algebra	NN
79	14	5	is	VB
80	15	5	basically	RB
81	16	5	an	OO
82	17	5	attempt	NN
83	18	5	to	OO
84	19	5	develop	VB
85	20	5	expert	JJ
86	21	5	system	NN
87	22	5	design	NN
88	23	5	in	OO
89	24	5	the	OO
90	25	5	domain	NN
91	26	5	of	OO
92	27	5	DNA	NN
93	28	5	computing	NN
94	29	5	.	OO
95	1	6	We	NN
96	2	6	have	VB
97	3	6	illustrated	VB
98	4	6	our	JJ
99	5	6	methodology	NN
100	6	6	with	OO
101	7	6	respect	NN
102	8	6	to	OO
103	9	6	worked	VB
104	10	6	out	OO
105	11	6	example	NN
106	12	6	.	OO
107	1	7	Our	JJ
108	2	7	methodology	NN
109	3	7	is	VB
110	4	7	very	RB
111	5	7	flexible	JJ
112	6	7	for	OO
113	7	7	implementation	NN
114	8	7	of	OO
115	9	7	different	JJ
116	10	7	expert	NN
117	11	7	system	NN
118	12	7	applications	NN
119	13	7	.	OO
120	1	8	Keywords	NN
121	2	8	:	OO
122	3	8	logical	JJ
123	4	8	inference	NN
124	5	8	,	OO
125	6	8	DNA	NN
126	7	8	strand	NN
127	8	8	algebra	NN
128	9	8	;	OO
129	10	8	DNA	NN
130	11	8	gate	NN
131	12	8	;	OO
132	13	8	DNA	NN
133	14	8	signal	NN
134	15	8	;	OO
135	16	8	process	NN
136	17	8	algebra	NN
137	18	8	;	OO
138	19	8	DNA	NN
139	20	8	computing	NN
140	21	8	;	OO
141	22	8	modus	NN
142	23	8	ponens	NN
143	24	8	;	OO
144	25	8	strand	NN
145	26	8	displacement	NN
146	27	8	;	OO
147	28	8	molecular	JJ
148	29	8	computing	NN
149	30	8	;	OO
150	31	8	expert	NN
151	32	8	system	NN
152	33	8	approach	NN
153	34	8	.	OO
154	1	9	1	OO
155	2	9	.	OO
156	1	10	Introduction	NN
157	2	10	Conventional	JJ
158	3	10	silicon	NN
159	4	10	based	VB
160	5	10	computing	NN
161	6	10	has	VB
162	7	10	been	VB
163	8	10	successful	JJ
164	9	10	over	OO
165	10	10	the	OO
166	11	10	past	JJ
167	12	10	several	JJ
168	13	10	decades	NN
169	14	10	.	OO
170	1	11	It	NN
171	2	11	is	VB
172	3	11	fast	RB
173	4	11	,	OO
174	5	11	flexible	JJ
175	6	11	,	OO
176	7	11	and	OO
177	8	11	well	RB
178	9	11	understood	VB
179	10	11	.	OO
180	1	12	But	OO
181	2	12	it	NN
182	3	12	has	VB
183	4	12	reached	VB
184	5	12	its	JJ
185	6	12	limitations	NN
186	7	12	of	OO
187	8	12	design	NN
188	9	12	complexity	NN
189	10	12	,	OO
190	11	12	processing	VB
191	12	12	power	NN
192	13	12	,	OO
193	14	12	memory	NN
194	15	12	,	OO
195	16	12	energy	NN
196	17	12	consumption	NN
197	18	12	,	OO
198	19	12	density	NN
199	20	12	and	OO
200	21	12	heat	NN
201	22	12	dissipation	NN
202	23	12	.	OO
203	1	13	Alternatives	NN
204	2	13	to	OO
205	3	13	these	OO
206	4	13	traditional	JJ
207	5	13	methods	NN
208	6	13	of	OO
209	7	13	building	NN
210	8	13	computers	NN
211	9	13	have	VB
212	10	13	been	VB
213	11	13	proposed	VB
214	12	13	and	OO
215	13	13	in	OO
216	14	13	recent	JJ
217	15	13	past	JJ
218	16	13	molecular	JJ
219	17	13	computing	NN
220	18	13	has	VB
221	19	13	gained	VB
222	20	13	considerable	JJ
223	21	13	attention	NN
224	22	13	for	OO
225	23	13	non-silicon	JJ
226	24	13	based	VB
227	25	13	computing	NN
228	26	13	which	OO
229	27	13	can	VB
230	28	13	overcome	VB
231	29	13	conventional	JJ
232	30	13	computation	NN
233	31	13	problems	NN
234	32	13	.	OO
235	1	14	The	OO
236	2	14	Watson-Crick	NN
237	3	14	base	NN
238	4	14	pairing	NN
239	5	14	makes	VB
240	6	14	DNA	NN
241	7	14	a	OO
242	8	14	powerful	JJ
243	9	14	tool	NN
244	10	14	for	OO
245	11	14	engineering	NN
246	12	14	at	OO
247	13	14	nano-scale	JJ
248	14	14	[	OO
249	15	14	Adleman	NN
250	16	14	,	OO
251	17	14	1994	OO
252	18	14	;	OO
253	19	14	Benenson	NN
254	20	14	et	OO
255	21	14	al.	OO
256	22	14	,	OO
257	23	14	2001	OO
258	24	14	;	OO
259	25	14	Green	NN
260	26	14	et	OO
261	27	14	al.	OO
262	28	14	,	OO
263	29	14	2006	OO
264	30	14	;	OO
265	31	14	Winfree	NN
266	32	14	et	OO
267	33	14	al.	OO
268	34	14	,	OO
269	35	14	1998	OO
270	36	14	]	OO
271	37	14	.	OO
272	1	15	The	OO
273	2	15	behaviour	NN
274	3	15	of	OO
275	4	15	DNA	NN
276	5	15	molecules	NN
277	6	15	can	VB
278	7	15	be	VB
279	8	15	predicted	VB
280	9	15	,	OO
281	10	15	and	OO
282	11	15	by	OO
283	12	15	setting	VB
284	13	15	2	OO
285	14	15	up	OO
286	15	15	strands	NN
287	16	15	of	OO
288	17	15	DNA	NN
289	18	15	in	OO
290	19	15	the	OO
291	20	15	right	JJ
292	21	15	way	NN
293	22	15	,	OO
294	23	15	they	NN
295	24	15	can	VB
296	25	15	draw	VB
297	26	15	conclusion	NN
298	27	15	from	OO
299	28	15	a	OO
300	29	15	set	NN
301	30	15	of	OO
302	31	15	logical	JJ
303	32	15	inference	NN
304	33	15	rules	NN
305	34	15	[	OO
306	35	15	Ray	NN
307	36	15	and	OO
308	37	15	Mondal	NN
309	38	15	,	OO
310	39	15	2011a	NN
311	40	15	;	OO
312	41	15	Ray	NN
313	42	15	and	OO
314	43	15	Mondal	NN
315	44	15	,	OO
316	45	15	2011b	JJ
317	46	15	]	OO
318	47	15	.	OO
319	1	16	In	OO
320	2	16	this	OO
321	3	16	paper	NN
322	4	16	we	NN
323	5	16	have	VB
324	6	16	performed	VB
325	7	16	logical	JJ
326	8	16	reasoning	NN
327	9	16	by	OO
328	10	16	modus	NN
329	11	16	ponens	NN
330	12	16	using	VB
331	13	16	DNA	NN
332	14	16	strand	NN
333	15	16	algebra	NN
334	16	16	,	OO
335	17	16	which	OO
336	18	16	can	VB
337	19	16	be	VB
338	20	16	defined	VB
339	21	16	as	OO
340	22	16	a	OO
341	23	16	branch	NN
342	24	16	of	OO
343	25	16	process	NN
344	26	16	algebra	NN
345	27	16	.	OO
346	1	17	The	OO
347	2	17	operations	NN
348	3	17	of	OO
349	4	17	DNA	NN
350	5	17	strands	NN
351	6	17	in	OO
352	7	17	present	JJ
353	8	17	model	NN
354	9	17	are	VB
355	10	17	based	VB
356	11	17	on	OO
357	12	17	the	OO
358	13	17	mechanism	NN
359	14	17	of	OO
360	15	17	DNA	NN
361	16	17	strand	NN
362	17	17	displacement	NN
363	18	17	.	OO
364	1	18	Process	VB
365	2	18	algebras	NN
366	3	18	are	VB
367	4	18	widely	RB
368	5	18	used	VB
369	6	18	for	OO
370	7	18	defining	VB
371	8	18	the	OO
372	9	18	formal	JJ
373	10	18	semantics	NN
374	11	18	of	OO
375	12	18	concurrent	JJ
376	13	18	communicating	VB
377	14	18	processes	NN
378	15	18	.	OO
379	1	19	Process	VB
380	2	19	calculi	NN
381	3	19	provide	VB
382	4	19	a	OO
383	5	19	tool	NN
384	6	19	for	OO
385	7	19	the	OO
386	8	19	high-level	JJ
387	9	19	description	NN
388	10	19	of	OO
389	11	19	interactions	NN
390	12	19	,	OO
391	13	19	communications	NN
392	14	19	,	OO
393	15	19	and	OO
394	16	19	synchronizations	NN
395	17	19	between	OO
396	18	19	a	OO
397	19	19	collection	NN
398	20	19	of	OO
399	21	19	independent	JJ
400	22	19	agents	NN
401	23	19	or	OO
402	24	19	processes	NN
403	25	19	.	OO
404	1	20	They	NN
405	2	20	also	RB
406	3	20	provide	VB
407	4	20	algebraic	JJ
408	5	20	laws	NN
409	6	20	that	OO
410	7	20	allow	VB
411	8	20	process	NN
412	9	20	descriptions	NN
413	10	20	to	OO
414	11	20	be	VB
415	12	20	manipulated	VB
416	13	20	and	OO
417	14	20	analyzed	VB
418	15	20	,	OO
419	16	20	and	OO
420	17	20	permit	VB
421	18	20	formal	JJ
422	19	20	reasoning	NN
423	20	20	about	OO
424	21	20	equivalences	NN
425	22	20	between	OO
426	23	20	processes	NN
427	24	20	.	OO
428	1	21	The	OO
429	2	21	main	JJ
430	3	21	components	NN
431	4	21	of	OO
432	5	21	DNA	NN
433	6	21	strand	NN
434	7	21	algebra	NN
435	8	21	are	VB
436	9	21	DNA	NN
437	10	21	strands	NN
438	11	21	,	OO
439	12	21	DNA	NN
440	13	21	gates	NN
441	14	21	,	OO
442	15	21	and	OO
443	16	21	their	JJ
444	17	21	interactions	NN
445	18	21	.	OO
446	1	22	2	OO
447	2	22	.	OO
448	1	23	DNA	NN
449	2	23	strand	NN
450	3	23	algebra	NN
451	4	23	:	OO
452	5	23	syntax	NN
453	6	23	and	OO
454	7	23	semantics	NN
455	8	23	Before	OO
456	9	23	going	VB
457	10	23	in	OO
458	11	23	detail	NN
459	12	23	description	NN
460	13	23	of	OO
461	14	23	DNA	NN
462	15	23	strand	NN
463	16	23	algebra	NN
464	17	23	we	NN
465	18	23	first	RB
466	19	23	have	VB
467	20	23	to	OO
468	21	23	know	VB
469	22	23	what	NN
470	23	23	is	VB
471	24	23	syntax	NN
472	25	23	and	OO
473	26	23	semantics	NN
474	27	23	.	OO
475	1	24	How	RB
476	2	24	are	VB
477	3	24	they	NN
478	4	24	different	JJ
479	5	24	?	OO
480	1	25	[	OO
481	2	25	Cardelli	NN
482	3	25	,	OO
483	4	25	2009	OO
484	5	25	;	OO
485	6	25	Cardelli	NN
486	7	25	2013	OO
487	8	25	]	OO
488	9	25	A	OO
489	10	25	language	NN
490	11	25	is	VB
491	12	25	a	OO
492	13	25	set	NN
493	14	25	of	OO
494	15	25	valid	JJ
495	16	25	sentences	NN
496	17	25	.	OO
497	1	26	The	OO
498	2	26	validity	NN
499	3	26	of	OO
500	4	26	language	NN
501	5	26	can	VB
502	6	26	be	VB
503	7	26	broken	VB
504	8	26	down	OO
505	9	26	into	OO
506	10	26	two	OO
507	11	26	things	NN
508	12	26	:	OO
509	13	26	syntax	NN
510	14	26	and	OO
511	15	26	semantics	NN
512	16	26	.	OO
513	1	27	The	OO
514	2	27	term	NN
515	3	27	syntax	NN
516	4	27	refers	VB
517	5	27	to	OO
518	6	27	grammatical	JJ
519	7	27	structure	NN
520	8	27	of	OO
521	9	27	a	OO
522	10	27	language	NN
523	11	27	,	OO
524	12	27	rather	RB
525	13	27	than	OO
526	14	27	what	NN
527	15	27	they	NN
528	16	27	refer	VB
529	17	27	to	OO
530	18	27	or	OO
531	19	27	mean	VB
532	20	27	.	OO
533	1	28	Whereas	OO
534	2	28	the	OO
535	3	28	term	NN
536	4	28	semantics	NN
537	5	28	is	VB
538	6	28	concerned	VB
539	7	28	to	OO
540	8	28	the	OO
541	9	28	meaning	NN
542	10	28	of	OO
543	11	28	the	OO
544	12	28	vocabulary	NN
545	13	28	symbols	NN
546	14	28	arranged	VB
547	15	28	with	OO
548	16	28	that	OO
549	17	28	structure	NN
550	18	28	,	OO
551	19	28	often	RB
552	20	28	in	OO
553	21	28	relation	NN
554	22	28	to	OO
555	23	28	their	JJ
556	24	28	truth	NN
557	25	28	and	OO
558	26	28	falsehood	NN
559	27	28	.	OO
560	1	29	Grammatical	JJ
561	2	29	(	OO
562	3	29	syntactically	RB
563	4	29	)	OO
564	5	29	valid	JJ
565	6	29	does	VB
566	7	29	not	RB
567	8	29	imply	VB
568	9	29	sensible	JJ
569	10	29	(	OO
570	11	29	semantically	RB
571	12	29	)	OO
572	13	29	valid	JJ
573	14	29	.	OO
